"specimen_id","feather_type","source_metadata_row_ids","source_metadata_row_count","source_sheet_rows","museum","species","specimen_id_raw_examples","feather_type_raw_examples","general_collection_location","specific_collection_location","location_label","collection_date_raw","collection_month","collection_year","sex","notes","geo_region","geo_region_bin","metadata_harmonization_flags","coordinate_row_ids","lon","lat","geo_region_checkpoint","geo_region_bin_checkpoint","coordinate_source","coordinate_collection_date","coordinate_month","coordinate_year","coordinate_specific_collection_location","coordinate_match_found","coordinate_specific_location_matches_metadata","coordinate_collection_date_matches_metadata"
"2449-136247","Primary","museum_meta_199",1,"200","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","AJB 2449-136247 Primary",,"Tasmania, Australia","Greens Beach","Greens Beach, Tasmania, Australia","28936",3,1979,"F",,"Australia",1,"removed_prefix_AJB|feather_type_inferred_from_specimen_id",,,,,,,,,,,FALSE,,
"2450-136248","Breast","museum_meta_177",1,"178","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","AJB 2450-136248 Breast",,"Tasmania, Australia","Greens Beach","Greens Beach, Tasmania, Australia","28936",3,1979,"M",,"Australia",1,"removed_prefix_AJB|feather_type_inferred_from_specimen_id","museum_coord_17",146.7425129,-41.0875836,"Australia",1,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","28936",3,1979,"Greens Beach",TRUE,TRUE,TRUE
"2450-136248","Primary","museum_meta_200",1,"201","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","AJB 2450-136248 Primary",,"Tasmania, Australia","Greens Beach","Greens Beach, Tasmania, Australia","28936",3,1979,"M",,"Australia",1,"removed_prefix_AJB|feather_type_inferred_from_specimen_id",,,,,,,,,,,FALSE,,
"35514","Breast","museum_meta_057",1,"58","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","35514 - breast","Breast","Victoria, Australia","Flinders, Ocean Beach (38 28 54 S, 145 00 59 E)","Flinders, Ocean Beach (38 28 54 S, 145 00 59 E), Victoria, Australia","43320",8,2018,"Male",,"Australia",1,,"museum_coord_18",145.0167856,-38.4826457,"Australia",1,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","43320",8,2018,"Flinders, Ocean Beach (38 28 54 S, 145 00 59 E)",TRUE,TRUE,TRUE
"35515","Breast","museum_meta_058",1,"59","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","35515 - breast","Breast","Victoria, Australia","Flinders, Ocean Beach (38 28 54 S, 145 00 59 E)","Flinders, Ocean Beach (38 28 54 S, 145 00 59 E), Victoria, Australia","43320",8,2018,"Female",,"Australia",1,,"museum_coord_19",145.0167856,-38.4826457,"Australia",1,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","43320",8,2018,"Flinders, Ocean Beach (38 28 54 S, 145 00 59 E)",TRUE,TRUE,TRUE
"35577","Breast","museum_meta_056",1,"57","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","35577 - breast","Breast","Victoria, Australia","Western Port, Stockyard Point (38 25 S, 145 23 E)","Western Port, Stockyard Point (38 25 S, 145 23 E), Victoria, Australia","16/07/2000",7,2000,"Unknown",,"Australia",1,,"museum_coord_20",145.5167602,-38.3376816,"Australia",1,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","16/07/2000",7,2000,"Western Port, Stockyard Point (38 25 S, 145 23 E)",TRUE,TRUE,TRUE
"390-122989","Breast","museum_meta_171",1,"172","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","AJB 390-122989 Breast",,"Nelson, New Zealand","Whanganui (Westhaven) Inlet","Whanganui (Westhaven) Inlet, Nelson, New Zealand","27222",7,1974,"F",,"New Zealand",0,"removed_prefix_AJB|feather_type_inferred_from_specimen_id","museum_coord_21",175.0286083,-39.9330715,"New Zealand",0,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","27222",7,1974,"Whanganui (Westhaven) Inlet",TRUE,TRUE,TRUE
"390-122989","Primary","museum_meta_194",1,"195","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","AJB 390-122989 Primary",,"Nelson, New Zealand","Whanganui (Westhaven) Inlet","Whanganui (Westhaven) Inlet, Nelson, New Zealand","27222",7,1974,"F",,"New Zealand",0,"removed_prefix_AJB|feather_type_inferred_from_specimen_id",,,,,,,,,,,FALSE,,
"391-122990","Breast","museum_meta_172",1,"173","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","AJB 391-122990 Breast",,"Nelson, New Zealand","Whanganui (Westhaven) Inlet","Whanganui (Westhaven) Inlet, Nelson, New Zealand","27222",7,1974,"M",,"New Zealand",0,"removed_prefix_AJB|feather_type_inferred_from_specimen_id","museum_coord_22",175.0286083,-39.9330715,"New Zealand",0,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","27222",7,1974,"Whanganui (Westhaven) Inlet",TRUE,TRUE,TRUE
"391-122990","Primary","museum_meta_195",1,"196","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","AJB 391-122990 Primary",,"Nelson, New Zealand","Whanganui (Westhaven) Inlet","Whanganui (Westhaven) Inlet, Nelson, New Zealand","27222",7,1974,"M",,"New Zealand",0,"removed_prefix_AJB|feather_type_inferred_from_specimen_id",,,,,,,,,,,FALSE,,
