candidate_id,candidate_label,caution_level,sensitivity_only,validation_layer,split_id,repeat_id,fold_id,n_assessment,base_log_loss,uncertainty_log_loss,base_bal_accuracy,uncertainty_bal_accuracy,determinate_rate,indeterminate_rate,final_class_changed_rate,any_flip_rate,base_to_indeterminate_rate,boundary_cross_rate,mean_switch_rate,median_switch_rate,mean_abs_top_prob_shift,top_prob_shift_gt_0_05_rate
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,repeated_stratified_cv,Repeat05__Fold5,Repeat05,Fold5,10,0.5455073192939824,0.5447624202738852,0.5416666666666667,0.5416666666666667,0.7,0.3,0,0.6,0.3,0.3,0.12240000000000001,0.039000000000000035,0.01031785754610387,0
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,repeated_stratified_cv,Repeat06__Fold1,Repeat06,Fold1,12,0.5221914532419524,0.5262419604162852,0.7,0.7,0.8333333333333334,0.16666666666666666,0,0.5833333333333334,0.16666666666666666,0.16666666666666666,0.06050000000000001,0.007000000000000003,0.006706661677187198,0
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,repeated_stratified_cv,Repeat06__Fold2,Repeat06,Fold2,12,0.46307163932507894,0.4651548503810643,0.6285714285714286,0.6285714285714286,0.5833333333333334,0.4166666666666667,0,0.5,0.4166666666666667,0.4166666666666667,0.09083333333333334,0.04099999999999998,0.006348246178497394,0
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,repeated_stratified_cv,Repeat06__Fold3,Repeat06,Fold3,11,0.5426657020676889,0.5462595550844798,0.5535714285714286,0.5535714285714286,0.5454545454545454,0.45454545454545453,0,0.6363636363636364,0.45454545454545453,0.45454545454545453,0.1747272727272727,0.008000000000000007,0.015481527442160026,0
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,repeated_stratified_cv,Repeat06__Fold4,Repeat06,Fold4,11,0.5077430491158806,0.510897972569865,0.8035714285714286,0.8035714285714286,0.7272727272727273,0.2727272727272727,0,0.6363636363636364,0.2727272727272727,0.2727272727272727,0.08727272727272727,0.022,0.007236906834930108,0
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,repeated_stratified_cv,Repeat06__Fold5,Repeat06,Fold5,10,0.5128574198701481,0.5143188145269761,0.7916666666666667,0.7916666666666667,0.7,0.3,0,0.7,0.3,0.3,0.0962,0.006000000000000002,0.008714227590057567,0
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,repeated_stratified_cv,Repeat07__Fold1,Repeat07,Fold1,12,0.47239154621985513,0.4766739404429203,0.9,0.9,0.75,0.25,0,0.5833333333333334,0.25,0.25,0.07583333333333334,0.03600000000000002,0.00236877414846499,0
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,repeated_stratified_cv,Repeat07__Fold2,Repeat07,Fold2,12,0.5901674672438242,0.5890258886932267,0.4571428571428572,0.3857142857142857,0.5833333333333334,0.4166666666666667,0,0.75,0.4166666666666667,0.4166666666666667,0.16933333333333334,0.083,0.013855910959953217,0
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,repeated_stratified_cv,Repeat07__Fold3,Repeat07,Fold3,11,0.4212676677703571,0.4253884555084951,0.75,0.75,0.8181818181818182,0.18181818181818182,0,0.5454545454545454,0.18181818181818182,0.18181818181818182,0.05163636363636363,0.0020000000000000018,0.005652701475479856,0
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,repeated_stratified_cv,Repeat07__Fold4,Repeat07,Fold4,11,0.5589086162159872,0.5578718042688069,0.7321428571428572,0.7321428571428572,0.9090909090909091,0.09090909090909091,0,0.5454545454545454,0.09090909090909091,0.09090909090909091,0.018,0.004,0.00644150602738345,0
