candidate_id,candidate_label,caution_level,sensitivity_only,validation_layer,split_id,repeat_id,fold_id,ring,coord_group,longitude_capture,latitude_capture,truth,base_prob_migrant,base_class,uncertainty_prob_migrant_mean,uncertainty_prob_migrant_sd,uncertainty_prob_migrant_q10,uncertainty_prob_migrant_q90,uncertainty_class,class_support,prop_migrant_draws,any_draw_class_flip,switch_rate_from_base,top_prob_base,top_prob_mean,top_prob_abs_shift,boundary_crosses,indeterminate,operational_call,final_class_changed
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,blocked_coordinate_cv,Fold1,NA,Fold1,CP9059,"173.662786,-42.413422",173.662786,-42.413422,resident,0.4994878943007527,resident,0.4993831882356351,0.05313032810455814,0.43529459971831663,0.5683846428213429,resident,0.512,0.488,TRUE,0.488,0.5005121056992473,0.5426857419428943,0.042173636243647006,TRUE,TRUE,indeterminate,FALSE
r1_g_structured_paired_cnh,Rung 1 G: Structured paired C/N/H,primary_h_high_caution_tertiary_sensitivity,TRUE,blocked_coordinate_cv,Fold1,NA,Fold1,CP16409,"172.431853,-43.845691",172.431853,-43.845691,resident,0.4333542207239787,resident,0.4508304368638627,0.01880611002330739,0.4304788597028728,0.47764035814699934,resident,0.986,0.014,TRUE,0.014,0.5666457792760213,0.549528208522468,0.017117570753553357,FALSE,FALSE,NA,FALSE
r1_g_structured_paired_cnh,Rung 1 G: Structured paired C/N/H,primary_h_high_caution_tertiary_sensitivity,TRUE,blocked_coordinate_cv,Fold1,NA,Fold1,CP16446,"172.397899,-43.851742",172.397899,-43.851742,migrant,0.551832293468734,migrant,0.5539214096316519,0.027216020420699157,0.5206829125766574,0.58926614835781,migrant,0.992,0.992,TRUE,0.008000000000000007,0.551832293468734,0.5541539782739586,0.0023216848052246553,FALSE,FALSE,NA,FALSE
r1_g_structured_paired_cnh,Rung 1 G: Structured paired C/N/H,primary_h_high_caution_tertiary_sensitivity,TRUE,blocked_coordinate_cv,Fold1,NA,Fold1,CP16536,"170.144062,-43.736643",170.144062,-43.736643,migrant,0.7426233605932631,migrant,0.7417974178518641,0.022224067658281034,0.7127362546524396,0.7698394502446894,migrant,1,1,FALSE,0,0.7426233605932631,0.7417974178518641,8.259427413989107e-4,FALSE,FALSE,NA,FALSE
r1_g_structured_paired_cnh,Rung 1 G: Structured paired C/N/H,primary_h_high_caution_tertiary_sensitivity,TRUE,blocked_coordinate_cv,Fold1,NA,Fold1,CP16641,"173.011986,-40.992659",173.011986,-40.992659,migrant,0.5478998912211,migrant,0.5484614031296577,0.026946886242168476,0.5132455218066714,0.5845204692813618,migrant,0.964,0.964,TRUE,0.03600000000000003,0.5478998912211,0.549221399128547,0.001321507907446895,FALSE,FALSE,NA,FALSE
r1_g_structured_paired_cnh,Rung 1 G: Structured paired C/N/H,primary_h_high_caution_tertiary_sensitivity,TRUE,blocked_coordinate_cv,Fold1,NA,Fold1,CP16655,"170.144062,-43.736643",170.144062,-43.736643,migrant,0.5997569556300538,migrant,0.6011650840567474,0.028569161717522735,0.5653940286866005,0.6374939973693844,migrant,1,1,FALSE,0,0.5997569556300538,0.6011650840567474,0.0014081284266935779,FALSE,FALSE,NA,FALSE
r1_g_structured_paired_cnh,Rung 1 G: Structured paired C/N/H,primary_h_high_caution_tertiary_sensitivity,TRUE,blocked_coordinate_cv,Fold1,NA,Fold1,CP16953,"175.700161037967,-39.3611319735646",175.700161037967,-39.3611319735646,migrant,0.8583581011104332,migrant,0.857850089727026,0.01339175777313041,0.8412840294510641,0.8747445135766393,migrant,1,1,FALSE,0,0.8583581011104332,0.857850089727026,5.080113834071698e-4,FALSE,FALSE,NA,FALSE
r1_g_structured_paired_cnh,Rung 1 G: Structured paired C/N/H,primary_h_high_caution_tertiary_sensitivity,TRUE,blocked_coordinate_cv,Fold1,NA,Fold1,CP16990,"176.930825,-39.575394",176.930825,-39.575394,migrant,0.5567265140769923,migrant,0.5564425906064852,0.02871822257618318,0.5193715176113821,0.5929556932094352,migrant,0.974,0.974,TRUE,0.026000000000000023,0.5567265140769923,0.5567718668005968,4.535272360450815e-5,FALSE,FALSE,NA,FALSE
r1_g_structured_paired_cnh,Rung 1 G: Structured paired C/N/H,primary_h_high_caution_tertiary_sensitivity,TRUE,blocked_coordinate_cv,Fold1,NA,Fold1,CP19312,"170.145122,-43.729755",170.145122,-43.729755,migrant,0.7026934765935597,migrant,0.7044008762745729,0.024368904967143907,0.6723819841119452,0.734887211072712,migrant,1,1,FALSE,0,0.7026934765935597,0.7044008762745729,0.0017073996810131886,FALSE,FALSE,NA,FALSE
r1_g_structured_paired_cnh,Rung 1 G: Structured paired C/N/H,primary_h_high_caution_tertiary_sensitivity,TRUE,blocked_coordinate_cv,Fold1,NA,Fold1,CP19346,"172.431853,-43.845691",172.431853,-43.845691,resident,0.5254876136778195,migrant,0.528897684262981,0.027747345225295386,0.49291150549261276,0.5638754555872186,migrant,0.854,0.854,TRUE,0.14600000000000002,0.5254876136778195,0.5331274485123476,0.007639834834528125,TRUE,TRUE,indeterminate,FALSE
