"ring","source_phenotype_row_ids","source_phenotype_row_count","sample_identifier_examples","sex","tag_id_adjusted","tag_id_raw_examples","sampling_location_general","sampling_location_specific","sampling_site_label","status","status_bin","migratory_status_comment","longitude_capture","latitude_capture","status_known"
"CP16658","live_pheno_284|live_pheno_440",2,"CP16658_2024-10-12","M",,,"South Island, New Zealand","Cass River, Canterbury","Cass River","unknown","unknown",,170.483192,-43.879553,FALSE
"CP16662","live_pheno_158|live_pheno_205",2,"CP16662_2024-10-16","M","266378","266378","South Island, New Zealand","Tiwai Point, Canterbury","Tiwai Point","resident","resident","PTT revealed that the bird stayed at the Awarua Bay for the full year",168.423104,-46.603891,TRUE
"CP16663","live_pheno_159|live_pheno_206",2,"CP16663_2024-10-17","M","266452","266452","South Island, New Zealand","Tiwai Point, Canterbury","Tiwai Point","resident","resident","PTT revealed that the bird stayed at the Awarua Bay for the full year",168.432976,-46.605125,TRUE
"CP16664","live_pheno_285|live_pheno_441",2,"CP16664_2024-10-21","F","0AC6","0AC6","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","unknown","unknown",,172.397839,-43.852224,FALSE
"CP16665","live_pheno_286|live_pheno_442",2,"CP16665_2024-10-21","M","0AB5","0AB5","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","unknown","unknown",,172.397899,-43.851742,FALSE
"CP16666","live_pheno_287|live_pheno_443",2,"CP16666_2024-10-21","F","0625","0625","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","unknown","unknown",,172.397899,-43.851742,FALSE
"CP16667","live_pheno_010|live_pheno_027",2,"CP16667_2024-12-09","M","266470_B","266470","South Island, New Zealand","Pisa Range, Otago","Pisa Range","AU migrant","migrant","PTT revealed this bird migrating to Corner Inlet, Victoria (arrival: May 21, departure: Sep 14)",169.161329995841,-44.8660619650036,TRUE
"CP16668","live_pheno_288|live_pheno_444",2,"CP16668_2024-12-10","M",,,"South Island, New Zealand","Pisa Range, Otago","Pisa Range","unknown","unknown",,169.166817963123,-44.8663249891251,FALSE
"CP16669","live_pheno_289|live_pheno_445",2,"CP16669_2024-12-10","M",,,"South Island, New Zealand","Pisa Range, Otago","Pisa Range","unknown","unknown",,169.168186979368,-44.8657110147178,FALSE
"CP16670","live_pheno_113|live_pheno_131",2,"CP16670_2024-12-11","M",,,"South Island, New Zealand","Old Man Range, Otago","Old Man Range","unknown","unknown",,169.215938011184,-45.3418160229921,FALSE
"CP16671","live_pheno_114|live_pheno_132",2,"CP16671_2024-12-11","F",,,"South Island, New Zealand","Old Man Range, Otago","Old Man Range","unknown","unknown",,169.213724015281,-45.3410719614476,FALSE
"CP16672","live_pheno_290|live_pheno_446",2,"CP16672_2024-12-11","M",,,"South Island, New Zealand","Old Man Range, Otago","Old Man Range","unknown","unknown",,169.214778039604,-45.3427250403911,FALSE
"CP16673","live_pheno_291|live_pheno_447",2,"CP16673_2024-12-11","M",,,"South Island, New Zealand","Old Man Range, Otago","Old Man Range","unknown","unknown",,169.212433034554,-45.3445750102401,FALSE
"CP16674","live_pheno_292|live_pheno_448",2,"CP16674_2024-12-13","M",,,"South Island, New Zealand","Old Man Range, Otago","Old Man Range","unknown","unknown",,169.209389984608,-45.3420119918883,FALSE
"CP16675","live_pheno_293|live_pheno_449",2,"CP16675_2024-12-13","M",,,"South Island, New Zealand","Old Man Range, Otago","Old Man Range","unknown","unknown",,169.207807984203,-45.3417199663818,FALSE
"CP16676","live_pheno_294|live_pheno_450",2,"CP16676_2024-12-13","F",,,"South Island, New Zealand","Old Man Range, Otago","Old Man Range","unknown","unknown",,169.207807984203,-45.3417199663818,FALSE
"CP16677","live_pheno_115|live_pheno_133",2,"CP16677_2024-12-13","M",,,"South Island, New Zealand","Old Man Range, Otago","Old Man Range","unknown","unknown",,169.20916903764,-45.3364670276642,FALSE
"CP16678","live_pheno_116|live_pheno_134",2,"CP16678_2024-12-13","F",,,"South Island, New Zealand","Old Man Range, Otago","Old Man Range","unknown","unknown",,169.20916903764,-45.3364670276642,FALSE
"CP16679","live_pheno_295|live_pheno_451",2,"CP16679_2024-12-13","M",,,"South Island, New Zealand","Old Man Range, Otago","Old Man Range","unknown","unknown",,169.20916903764,-45.3364670276642,FALSE
"CP16681","live_pheno_117|live_pheno_135",2,"CP16681_2024-12-16","M",,,"South Island, New Zealand","Rangipo Desert, Tongariro National Park","Rangipo Desert","unknown","unknown",,175.731553025544,-39.2938620038331,FALSE
"CP16682","live_pheno_296|live_pheno_452",2,"CP16682_2024-12-17","M",,,"South Island, New Zealand","Rangipo Desert, Tongariro National Park","Rangipo Desert","unknown","unknown",,175.721417041495,-39.2907049600035,FALSE
"CP16683","live_pheno_297|live_pheno_453",2,"CP16683_2024-12-17","F",,,"South Island, New Zealand","Rangipo Desert, Tongariro National Park","Rangipo Desert","unknown","unknown",,175.719124004245,-39.2892480175942,FALSE
"CP16684","live_pheno_298|live_pheno_454",2,"CP16684_2024-12-17","M",,,"South Island, New Zealand","Rangipo Desert, Tongariro National Park","Rangipo Desert","unknown","unknown",,175.719124004245,-39.2892480175942,FALSE
"CP16685","live_pheno_118|live_pheno_136",2,"CP16685_2024-12-18","F",,,"South Island, New Zealand","Rangipo Desert, Tongariro National Park","Rangipo Desert","unknown","unknown",,175.731553025544,-39.2938620038331,FALSE
"CP16686","live_pheno_119|live_pheno_137",2,"CP16686_2025-01-07","F",,,"South Island, New Zealand","Old Man Range, Otago","Old Man Range","unknown","unknown",,169.211730966344,-45.3636030200869,FALSE
"CP16693","live_pheno_052|live_pheno_062",2,"CP16693_2024-09-30","F","266394","266394","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","SI migrant","migrant","PTT revealed that the bird left the breeding grounds at Birdlings Flat in late October and went to the agricultural fields near the Rakaia River where it stayed until July, when it returned to Birdling's Flat",172.608074,-43.830353,TRUE
"CP16697","live_pheno_299|live_pheno_455",2,"CP16697_2024-09-30","F","266460","266460","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","unknown","unknown","inconclusive PTT data: gap in transmission coverage over core winter months (but likely resident at Birdlings Flat / Kaituna Lagoon)",172.589424,-43.832331,FALSE
"CP16698","live_pheno_160|live_pheno_207",2,"CP16698_2024-09-30","M","266389","266389","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","resident","resident","PTT revealed that the bird remained near Birdlings Flat and Lake Ellesmere the full year",172.589424,-43.832331,TRUE
"CP16699","live_pheno_161|live_pheno_208",2,"CP16699_2024-10-01","F","266416","266416","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","resident","resident","PTT revealed that the bird remained near Birdlings Flat and Kaituna Lagoon the full year",172.577835,-43.83361,TRUE
"CP16736","live_pheno_162|live_pheno_209",2,"CP16736_2024-10-22","M","266396","266396","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","resident","resident","PTT revealed that the bird remained at the tip of Kaitorete Spit the full year",172.433641,-43.846432,TRUE
"CP16770","live_pheno_163|live_pheno_210",2,"CP16770_2024-10-16","M","266386","266386","South Island, New Zealand","Tiwai Point, Canterbury","Tiwai Point","resident","resident","PTT revealed that the bird remained at the Awarua Bay / Tiwai Point the full year",168.418929,-46.601052,TRUE
"CP16784","live_pheno_078|live_pheno_100",2,"CP16784_2024-10-16","F","266454","266454","South Island, New Zealand","Tiwai Point, Canterbury","Tiwai Point","resident","resident","PTT revealed that the bird moved to Waipapa Point for two weeks (Nov 13 to Dec 1) before returning to Tiwai Point / Awarua Bay for the remainder of the year",168.433454,-46.606459,TRUE
"CP16815","live_pheno_011|live_pheno_028",2,"CP16815_2024-10-10","M","266412","266412","South Island, New Zealand","Tasman River, Mt. Cook National Park","Tasman River","AU migrant","migrant","PTT revealed this bird migrating to the mouth of the Manning River, New South Wales (arrival: May 29) - after breeding season it staged at the Clutha River Mouth April 23 to May 20.",170.143369,-43.736814,TRUE
"CP16902","live_pheno_300|live_pheno_456",2,"CP16902_2024-10-07","F",,,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura","unknown","unknown",,173.68212,-42.387858,FALSE
"CP16906","live_pheno_079|live_pheno_101",2,"CP16906_2024-10-08","F",,,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura","resident","resident","Ailsa observation",173.681912,-42.392022,TRUE
"CP16929","live_pheno_301|live_pheno_457",2,"CP16929_2024-11-01","M",,,"South Island, New Zealand","Napier, Hawkes Bay","Napier","unknown","unknown",,176.878601,-39.46929,FALSE
"CP16931","live_pheno_302|live_pheno_458",2,"CP16931_2024-11-01","M",,,"South Island, New Zealand","Napier, Hawkes Bay","Napier","unknown","unknown",,176.872604,-39.455425,FALSE
"CP16932","live_pheno_303|live_pheno_459",2,"CP16932_2024-11-03","F",,,"South Island, New Zealand","Rangipo Desert, Tongariro National Park","Rangipo Desert","unknown","unknown",,175.726242,-39.291842,FALSE
"CP16933","live_pheno_304|live_pheno_460",2,"CP16933_2024-11-03","F",,,"South Island, New Zealand","Rangipo Desert, Tongariro National Park","Rangipo Desert","unknown","unknown",,175.723021,-39.285729,FALSE
"CP16934","live_pheno_305|live_pheno_461",2,"CP16934_2024-11-03","M",,,"South Island, New Zealand","Rangipo Desert, Tongariro National Park","Rangipo Desert","unknown","unknown",,175.723021,-39.285729,FALSE
"CP16935","live_pheno_306|live_pheno_462",2,"CP16935_2024-11-03","F",,,"South Island, New Zealand","Rangipo Desert, Tongariro National Park","Rangipo Desert","unknown","unknown",,175.724199,-39.279479,FALSE
"CP16936","live_pheno_307|live_pheno_463",2,"CP16936_2024-11-03","M",,,"South Island, New Zealand","Rangipo Desert, Tongariro National Park","Rangipo Desert","unknown","unknown",,175.724199,-39.279479,FALSE
"CP16937","live_pheno_308|live_pheno_464",2,"CP16937_2024-11-04","M",,,"South Island, New Zealand","Rangipo Desert, Tongariro National Park","Rangipo Desert","unknown","unknown",,175.727142,-39.291327,FALSE
"CP16938","live_pheno_036|live_pheno_043",2,"CP16938_2024-11-04","M",,,"South Island, New Zealand","Rangipo Desert, Tongariro National Park","Rangipo Desert","NI migrant","migrant","Resighting at Omaha Spit, North Island on March 15",175.727142,-39.291327,TRUE
"CP16939","live_pheno_309|live_pheno_465",2,"CP16939_2024-11-04","M",,,"South Island, New Zealand","Rangipo Desert, Tongariro National Park","Rangipo Desert","unknown","unknown",,175.724573,-39.289215,FALSE
