ring,rung2_class,status,normalised_d13c_Breast,normalised_d15n_Breast,normalised_d2h_Breast,abs_delta_d13c,abs_delta_d15n,abs_delta_d2h
CP19360,NZ migrant,SI migrant,-15.6494167356104,9.64897104177514,-27.747857656815,3.14224544778299,0.65809078307328,1.7138068537570987
CP19361,resident,resident,-13.9185362373694,13.103579897515,-21.3772879516674,4.70319036013115,1.035510410377,17.73587399989692
CP19365,AU migrant,AU migrant,-23.3101243339637,11.322927655372,15.6787653351278,0.515467673994461,7.34254354835078,41.7512521082287
CP19366,AU migrant,AU migrant,-13.6699580427845,10.7163868306164,-3.06216382712083,10.3618603002009,8.03008210838307,27.311943699926168
CP19368,AU migrant,AU migrant,-23.9349596678529,11.5187906958187,2.60262477330125,0.210619421711499,8.09143695958509,22.48451571423055
CP19371,resident,resident,-12.4035084505378,13.4932655104738,-22.0604717762451,5.87172083678052,1.88719910281572,19.373511603737683
CP19907,resident,resident,-22.1134454329775,11.3039454995212,-14.3435048647567,1.96078988199713,2.67945397070318,49.9499831575081
CP19908,resident,resident,-17.4723366032384,10.1721944967357,-10.3039561166372,2.51246114290634,2.08794298061695,0.2622240849878992
CP19915,NZ migrant,SI migrant,-26.9150664294187,11.5217746568784,-12.6838579153021,3.65685286128259,4.63470452430339,0.15122465418930098
CP19921,resident,resident,-23.3146109134045,8.23046560804341,-16.7283140923567,1.59952669039146,1.13191589530801,9.780318508395021
CP19922,resident,resident,-24.0930877817319,5.26440831471433,-20.3315138841851,0.066900355871887,0.638567666773061,1.8202114401189995
CP19923,resident,resident,-24.2471613285884,7.4476731567188,-10.1704348073123,1.33333317588775,0.550747558625456,3.813014638157151
CP19931,NZ migrant,NI migrant,-13.1476905276339,14.4329986737513,7.46516994720916,9.47022874904734,4.35566339117828,10.041787386896738
CP19983,resident,resident,-19.0124766576055,12.5227059718829,-9.46882246704472,5.62832821179529,3.78538190411343,21.65917294942098
CP9059,resident,resident,-18.0455411184568,12.5936658463559,4.70342211998976,3.5198249707976,2.26931987450378,31.38405280065916
