"ring","feather_type","sex","status","status_bin","status_known","sampling_location_general","sampling_location_specific","sampling_site_label","longitude_capture","latitude_capture","tag_id_adjusted","migratory_status_comment","n_assays","n_unique_samples","n_retained_assay_rows","n_model_contributing_rows","sample_ids_raw","sample_ids_base","normalised_d13c","normalised_d15n","normalised_d2h","cn_mass_ratio","amount_mg_mean","amount_mg_sd","source_measurement_ids","source_measurement_ids_model","source_phenotype_row_ids","adjudication_methods","has_pending_manual_qc","pending_manual_qc_reasons"
"CP16534","Breast","M","AU migrant","migrant",TRUE,"South Island, New Zealand","Tasman River, Mt. Cook National Park","Tasman River",170.145302,-43.731722,"266373","PTT revealed this bird migrating to the mouth of the Snowy River, Victoria (arrival: April 3)",2,2,2,2,"CP16534_2024-10-11_breast|CP16534_2024-10-11_breast feather","CP16534_2024-10-11_breast|CP16534_2024-10-11_breast feather",-10.2603025349417,10.5236576148647,7.67023696197101,3.39119566664249,0.2025,0.0346482322781408,"live_measurement_0049|live_measurement_0050|live_measurement_0338","live_measurement_0049|live_measurement_0050|live_measurement_0338","live_pheno_005|live_pheno_022","single_raw",FALSE,
"CP16534","Primary","M","AU migrant","migrant",TRUE,"South Island, New Zealand","Tasman River, Mt. Cook National Park","Tasman River",170.145302,-43.731722,"266373","PTT revealed this bird migrating to the mouth of the Snowy River, Victoria (arrival: April 3)",2,2,2,2,"CP16534_2024-10-11_primary|CP16534_2024-10-11_primary feather","CP16534_2024-10-11_primary|CP16534_2024-10-11_primary feather",-22.870401252807,3.09469860215485,-9.4040104342173,3.36211062479384,0.21,0.0424264068711929,"live_measurement_0051|live_measurement_0052|live_measurement_0339","live_measurement_0051|live_measurement_0052|live_measurement_0339","live_pheno_005|live_pheno_022","single_raw",FALSE,
"CP16536","Breast","M","SI migrant","migrant",TRUE,"South Island, New Zealand","Tasman River, Mt. Cook National Park","Tasman River",170.144062,-43.736643,"266428","PTT revealed this bird wintering at Farewell Spit (arrival: Jan 2, departure: Sep 2)",2,2,2,2,"CP16536_2024-10-10_breast|CP16536_2024-10-11_breast feather","CP16536_2024-10-10_breast|CP16536_2024-10-11_breast feather",-15.617931624941,13.6422268824368,3.72524978572474,3.41653617281785,0.2,0.0339411254969543,"live_measurement_0053|live_measurement_0054|live_measurement_0340","live_measurement_0053|live_measurement_0054|live_measurement_0340","live_pheno_049|live_pheno_059","single_raw",FALSE,
"CP16536","Primary","M","SI migrant","migrant",TRUE,"South Island, New Zealand","Tasman River, Mt. Cook National Park","Tasman River",170.144062,-43.736643,"266428","PTT revealed this bird wintering at Farewell Spit (arrival: Jan 2, departure: Sep 2)",2,2,2,2,"CP16536_2024-10-10_primary|CP16536_2024-10-10_primary feather","CP16536_2024-10-10_primary|CP16536_2024-10-10_primary feather",-22.7585099728686,5.76142460136077,-26.5260048101734,3.42793128898946,0.248,0.0424264068711929,"live_measurement_0055|live_measurement_0056|live_measurement_0341","live_measurement_0055|live_measurement_0056|live_measurement_0341","live_pheno_049|live_pheno_059","single_raw",FALSE,
"CP16543","Breast","F","resident","resident",TRUE,"South Island, New Zealand","Motueka Spit, Tasman Bay","Motueka Spit",173.033468,-41.123473,"266466","PTT revealed that the bird remained at Motueka Spit the full year (except for a brief 2 day foray to Takaka in mid-December)",2,2,2,2,"CP16543_2024-10-04_breast|CP16543_2024-10-04_breast feather","CP16543_2024-10-04_breast|CP16543_2024-10-04_breast feather",-14.0446412953552,12.7463740136981,-23.3261466074447,3.44163530874813,0.158,0.0466690475583121,"live_measurement_0057|live_measurement_0058|live_measurement_0342","live_measurement_0057|live_measurement_0058|live_measurement_0342","live_pheno_074|live_pheno_096","single_raw",FALSE,
"CP16543","Primary","F","resident","resident",TRUE,"South Island, New Zealand","Motueka Spit, Tasman Bay","Motueka Spit",173.033468,-41.123473,"266466","PTT revealed that the bird remained at Motueka Spit the full year (except for a brief 2 day foray to Takaka in mid-December)",2,2,3,3,"CP16543_2024-10-04_primary|CP16543_2024-10-04_primary feather|CP16543_2024-10-04_primary feather_rpt","CP16543_2024-10-04_primary|CP16543_2024-10-04_primary feather",-16.2882895810577,11.6899878349192,-14.9772993932422,3.38075502285142,0.206,0.0240416305603426,"live_measurement_0059|live_measurement_0061|live_measurement_0060|live_measurement_0062|live_measurement_0343","live_measurement_0059|live_measurement_0061|live_measurement_0060|live_measurement_0062|live_measurement_0343","live_pheno_074|live_pheno_096","lab_green_average|single_raw",FALSE,
"CP16609","Breast","F","SI migrant","migrant",TRUE,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura",173.667221,-42.413402,,"PTT during ethics trial revealed this bird moving to the Rakaia River in early March",2,2,2,2,"CP16609_2024-10-08_breast|CP16609_2024-10-08_breast feather","CP16609_2024-10-08_breast|CP16609_2024-10-08_breast feather",-22.738304318616,12.0726227186834,-5.07977238638779,3.42176629749809,0.226,0.00565685424949239,"live_measurement_0063|live_measurement_0064|live_measurement_0344","live_measurement_0063|live_measurement_0064|live_measurement_0344","live_pheno_050|live_pheno_060","single_raw",FALSE,
"CP16609","Primary","F","SI migrant","migrant",TRUE,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura",173.667221,-42.413402,,"PTT during ethics trial revealed this bird moving to the Rakaia River in early March",2,2,2,2,"CP16609_2024-10-08_primary|CP16609_2024-10-08_primary feather","CP16609_2024-10-08_primary|CP16609_2024-10-08_primary feather",-17.9500325020683,14.3180414146674,-15.1206473447666,3.46740055172569,0.3015,0.0332340187157677,"live_measurement_0065|live_measurement_0066|live_measurement_0345","live_measurement_0065|live_measurement_0066|live_measurement_0345","live_pheno_050|live_pheno_060","single_raw",FALSE,
"CP16627","Breast","M","resident","resident",TRUE,"South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete",172.684973,-43.82787,"266390","PTT revealed that the bird remained near Birdlings Flat and Kaituna Lagoon the full year",2,2,3,3,"CP16627_2024-10-01_breast|CP16627_2024-10-01_breast feather|CP16627_2024-10-01_breast feather_rpt","CP16627_2024-10-01_breast|CP16627_2024-10-01_breast feather",-21.2924562087123,13.9967809700958,-5.7186438009701,3.38791051930713,0.19375,0.0859134739141655,"live_measurement_0067|live_measurement_0069|live_measurement_0068|live_measurement_0070|live_measurement_0346","live_measurement_0067|live_measurement_0069|live_measurement_0068|live_measurement_0070|live_measurement_0346","live_pheno_075|live_pheno_097","lab_green_average|single_raw",FALSE,
"CP16627","Primary","M","resident","resident",TRUE,"South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete",172.684973,-43.82787,"266390","PTT revealed that the bird remained near Birdlings Flat and Kaituna Lagoon the full year",2,2,2,2,"CP16627_2024-10-01_primary|CP16627_2024-10-01_primary feather","CP16627_2024-10-01_primary|CP16627_2024-10-01_primary feather",-22.8453942861546,13.7672775514046,-28.9909425095605,3.35338529552216,0.3155,0.0784888527117068,"live_measurement_0071|live_measurement_0072|live_measurement_0347","live_measurement_0071|live_measurement_0072|live_measurement_0347","live_pheno_075|live_pheno_097","single_raw",FALSE,
"CP16628","Breast","F","resident","resident",TRUE,"South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete",172.684973,-43.82787,"266391","PTT revealed that the bird remained near Birdlings Flat and Lake Ellesmere the full year",2,2,2,2,"CP16628_2024-10-01_breast|CP16628_2024-10-01_breast feather","CP16628_2024-10-01_breast|CP16628_2024-10-01_breast feather",-21.5199033671861,14.3500364670151,5.94469526556098,3.46261866461474,0.2335,0.037476659402887,"live_measurement_0073|live_measurement_0074|live_measurement_0348","live_measurement_0073|live_measurement_0074|live_measurement_0348","live_pheno_076|live_pheno_098","single_raw",FALSE,
"CP16628","Primary","F","resident","resident",TRUE,"South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete",172.684973,-43.82787,"266391","PTT revealed that the bird remained near Birdlings Flat and Lake Ellesmere the full year",2,2,2,2,"CP16628_2024-10-01_primary|CP16628_2024-10-01_primary feather","CP16628_2024-10-01_primary|CP16628_2024-10-01_primary feather",-21.9624071953173,12.0169773361164,-56.804534571677,3.34169148563182,0.316,0.0848528137423857,"live_measurement_0075|live_measurement_0076|live_measurement_0349","live_measurement_0075|live_measurement_0076|live_measurement_0349","live_pheno_076|live_pheno_098","single_raw",FALSE,
