rung,validation_layer,candidate_id,candidate_label,truth,predicted,n
Rung 2,leave_one_site_out_cv,r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,NZ migrant,AU migrant,5
Rung 2,leave_one_site_out_cv,r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,NZ migrant,NZ migrant,2
Rung 2,leave_one_site_out_cv,r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,NZ migrant,resident,10
Rung 2,leave_one_site_out_cv,r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,resident,AU migrant,4
Rung 2,leave_one_site_out_cv,r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,resident,NZ migrant,6
Rung 2,leave_one_site_out_cv,r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,resident,resident,12
Rung 2,leave_one_site_out_cv,r2_x_direct_cnh_plus_paired_contrast_plus_winter_reference,Rung 2 X: Direct C/N/H + paired contrasts + winter reference distances,AU migrant,AU migrant,1
Rung 2,leave_one_site_out_cv,r2_x_direct_cnh_plus_paired_contrast_plus_winter_reference,Rung 2 X: Direct C/N/H + paired contrasts + winter reference distances,AU migrant,NZ migrant,1
Rung 2,leave_one_site_out_cv,r2_x_direct_cnh_plus_paired_contrast_plus_winter_reference,Rung 2 X: Direct C/N/H + paired contrasts + winter reference distances,AU migrant,resident,15
Rung 2,leave_one_site_out_cv,r2_x_direct_cnh_plus_paired_contrast_plus_winter_reference,Rung 2 X: Direct C/N/H + paired contrasts + winter reference distances,NZ migrant,AU migrant,5
Rung 2,leave_one_site_out_cv,r2_x_direct_cnh_plus_paired_contrast_plus_winter_reference,Rung 2 X: Direct C/N/H + paired contrasts + winter reference distances,NZ migrant,NZ migrant,2
Rung 2,leave_one_site_out_cv,r2_x_direct_cnh_plus_paired_contrast_plus_winter_reference,Rung 2 X: Direct C/N/H + paired contrasts + winter reference distances,NZ migrant,resident,10
Rung 2,leave_one_site_out_cv,r2_x_direct_cnh_plus_paired_contrast_plus_winter_reference,Rung 2 X: Direct C/N/H + paired contrasts + winter reference distances,resident,AU migrant,4
Rung 2,leave_one_site_out_cv,r2_x_direct_cnh_plus_paired_contrast_plus_winter_reference,Rung 2 X: Direct C/N/H + paired contrasts + winter reference distances,resident,NZ migrant,5
Rung 2,leave_one_site_out_cv,r2_x_direct_cnh_plus_paired_contrast_plus_winter_reference,Rung 2 X: Direct C/N/H + paired contrasts + winter reference distances,resident,resident,13
