validation_layer,ring,truth,base_prob_migrant,uncertainty_prob_migrant_mean,uncertainty_prob_migrant_q10,uncertainty_prob_migrant_q90,class_support,boundary_crosses,indeterminate,operational_call,switch_rate_from_base,top_prob_abs_shift
repeated_stratified_cv,CP19931,migrant,0.7730728008338643,0.7710088215073,0.6965125951205986,0.837648251398152,1,FALSE,FALSE,NA,0,0.00206397932656432
repeated_stratified_cv,CP9059,resident,0.5000356236499356,0.4960769416245284,0.4042174121463267,0.5979684832338504,0.544,TRUE,TRUE,indeterminate,0.544,0.05992850962818763
repeated_stratified_cv,CP16470,resident,0.5652096882743959,0.5700171841987897,0.5189799021337339,0.6266546984747711,0.958,FALSE,FALSE,NA,0.04200000000000004,0.00623204594203052
repeated_stratified_cv,CP16609,migrant,0.5203798162744042,0.5204222303257895,0.473781032230859,0.5715588618919151,0.696,TRUE,TRUE,indeterminate,0.30400000000000005,0.01324198875039905
repeated_stratified_cv,CP16655,migrant,0.5830356457506679,0.5850659725944659,0.5334130955163332,0.6448837747325026,0.986,FALSE,FALSE,NA,0.01400000000000001,0.00234241129815171
repeated_stratified_cv,CP16815,migrant,0.8279072281341422,0.8253750056799831,0.7836662756838094,0.8599149119555309,1,FALSE,FALSE,NA,0,0.00253222245415907
repeated_stratified_cv,CP16906,resident,0.5041242843576297,0.5061716134672547,0.4610894838486267,0.5546499569129315,0.564,TRUE,TRUE,indeterminate,0.43600000000000005,0.02566761204984247
repeated_stratified_cv,CP16953,migrant,0.9633833397384302,0.9623054855884536,0.9515331364655008,0.972664174196466,1,FALSE,FALSE,NA,0,0.0010778541499764
repeated_stratified_cv,CP16958,migrant,0.6188563545519389,0.6200420586523296,0.5675593294281535,0.6747366109155728,1,FALSE,FALSE,NA,0,0.00118570410039076
repeated_stratified_cv,CP16990,migrant,0.601652354041266,0.6024542202733959,0.5506431120657176,0.6540977486319924,0.996,FALSE,FALSE,NA,0.004,9.569721104148998e-4
