"source_branch","source_file","source_sheet","source_sheet_row","source_record_label","source_sia_id","specimen_id_raw","specimen_id","feather_type_raw","feather_type","feather_replicate","region_raw","region","amount_mg","isotope","raw_value","measurement_id","measurement_harmonization_flags","assay_qc_decision_id","assay_qc_action","assay_qc_reason","assay_qc_evidence_source","assay_qc_decision_class","assay_qc_rule_basis","assay_qc_notes","qc_adjudicated_value","value","included_in_canonical","assay_qc_explicit","assay_qc_value_changed","assay_qc_value_excluded","source_metadata_row_ids","source_metadata_row_count","source_sheet_rows","museum","species","specimen_id_raw_examples","feather_type_raw_examples","general_collection_location","specific_collection_location","location_label","collection_date_raw","collection_month","collection_year","sex","notes","geo_region","geo_region_bin","metadata_harmonization_flags","coordinate_row_ids","lon","lat","geo_region_checkpoint","geo_region_bin_checkpoint","coordinate_source","coordinate_collection_date","coordinate_month","coordinate_year","coordinate_specific_collection_location","coordinate_match_found","coordinate_specific_location_matches_metadata","coordinate_collection_date_matches_metadata"
"museum_triplicate_cn","data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls","Sample results_C&N",22,"AV1747 Breast_C",,"AV1747","AV1747","Breast","Breast","C","homogenate","homogenate",0.861,"normalised_d15n",13.8582360938937,"museum_measurement_0021",,,"keep",,,,,,,13.8582360938937,TRUE,FALSE,FALSE,FALSE,"museum_meta_024",1,"25","Canterbury Museum, Christchruch, New Zealand","Charadrius bicinctus","AV1747 Breast","Breast","North Island, New Zealand","Paraparaumu, Wellington","Paraparaumu, Wellington, North Island, New Zealand","10458",8,1928,"Male",,"New Zealand",0,,"museum_coord_43",174.7787463,-41.2923814,"New Zealand",0,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","10458",8,1928,"Paraparaumu, Wellington",TRUE,TRUE,TRUE
"museum_triplicate_cn","data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls","Sample results_C&N",22,"AV1747 Breast_C",,"AV1747","AV1747","Breast","Breast","C","homogenate","homogenate",0.861,"normalised_d13c",-15.4686461373518,"museum_measurement_0022",,,"keep",,,,,,,-15.4686461373518,TRUE,FALSE,FALSE,FALSE,"museum_meta_024",1,"25","Canterbury Museum, Christchruch, New Zealand","Charadrius bicinctus","AV1747 Breast","Breast","North Island, New Zealand","Paraparaumu, Wellington","Paraparaumu, Wellington, North Island, New Zealand","10458",8,1928,"Male",,"New Zealand",0,,"museum_coord_43",174.7787463,-41.2923814,"New Zealand",0,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","10458",8,1928,"Paraparaumu, Wellington",TRUE,TRUE,TRUE
"museum_triplicate_cn","data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls","Sample results_C&N",23,"AV1747 Breast_F",,"AV1747","AV1747","Breast","Breast","F","homogenate","homogenate",0.906,"normalised_d15n",14.8262462510497,"museum_measurement_0023",,,"keep",,,,,,,14.8262462510497,TRUE,FALSE,FALSE,FALSE,"museum_meta_024",1,"25","Canterbury Museum, Christchruch, New Zealand","Charadrius bicinctus","AV1747 Breast","Breast","North Island, New Zealand","Paraparaumu, Wellington","Paraparaumu, Wellington, North Island, New Zealand","10458",8,1928,"Male",,"New Zealand",0,,"museum_coord_43",174.7787463,-41.2923814,"New Zealand",0,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","10458",8,1928,"Paraparaumu, Wellington",TRUE,TRUE,TRUE
"museum_triplicate_cn","data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls","Sample results_C&N",23,"AV1747 Breast_F",,"AV1747","AV1747","Breast","Breast","F","homogenate","homogenate",0.906,"normalised_d13c",-14.1504288522247,"museum_measurement_0024",,,"keep",,,,,,,-14.1504288522247,TRUE,FALSE,FALSE,FALSE,"museum_meta_024",1,"25","Canterbury Museum, Christchruch, New Zealand","Charadrius bicinctus","AV1747 Breast","Breast","North Island, New Zealand","Paraparaumu, Wellington","Paraparaumu, Wellington, North Island, New Zealand","10458",8,1928,"Male",,"New Zealand",0,,"museum_coord_43",174.7787463,-41.2923814,"New Zealand",0,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","10458",8,1928,"Paraparaumu, Wellington",TRUE,TRUE,TRUE
"museum_triplicate_cn","data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls","Sample results_C&N",24,"AV21986 Breast_A","AV21986 Breast","AV21986","AV21986","Breast","Breast","A","homogenate","homogenate",0.729,"normalised_d15n",15.6995489263006,"museum_measurement_0025",,,"keep",,,,,,,15.6995489263006,TRUE,FALSE,FALSE,FALSE,"museum_meta_026",1,"27","Canterbury Museum, Christchruch, New Zealand","Charadrius bicinctus","AV21986 Breast","Breast","Auckland Islands, New Zealand","Enderby Island","Enderby Island, Auckland Islands, New Zealand","16103",2,1944,"Adult","in moult","New Zealand",0,,"museum_coord_45",166.2922512,-50.4966988,"New Zealand",0,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","16103",2,1944,"Enderby Island",TRUE,TRUE,TRUE
"museum_triplicate_cn","data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls","Sample results_C&N",24,"AV21986 Breast_A","AV21986 Breast","AV21986","AV21986","Breast","Breast","A","homogenate","homogenate",0.729,"normalised_d13c",-14.9688432902496,"museum_measurement_0026",,,"keep",,,,,,,-14.9688432902496,TRUE,FALSE,FALSE,FALSE,"museum_meta_026",1,"27","Canterbury Museum, Christchruch, New Zealand","Charadrius bicinctus","AV21986 Breast","Breast","Auckland Islands, New Zealand","Enderby Island","Enderby Island, Auckland Islands, New Zealand","16103",2,1944,"Adult","in moult","New Zealand",0,,"museum_coord_45",166.2922512,-50.4966988,"New Zealand",0,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","16103",2,1944,"Enderby Island",TRUE,TRUE,TRUE
"museum_triplicate_cn","data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls","Sample results_C&N",25,"AV21986 Breast_B",,"AV21986","AV21986","Breast","Breast","B","homogenate","homogenate",0.806,"normalised_d15n",15.8072163794138,"museum_measurement_0027",,,"keep",,,,,,,15.8072163794138,TRUE,FALSE,FALSE,FALSE,"museum_meta_026",1,"27","Canterbury Museum, Christchruch, New Zealand","Charadrius bicinctus","AV21986 Breast","Breast","Auckland Islands, New Zealand","Enderby Island","Enderby Island, Auckland Islands, New Zealand","16103",2,1944,"Adult","in moult","New Zealand",0,,"museum_coord_45",166.2922512,-50.4966988,"New Zealand",0,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","16103",2,1944,"Enderby Island",TRUE,TRUE,TRUE
"museum_triplicate_cn","data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls","Sample results_C&N",25,"AV21986 Breast_B",,"AV21986","AV21986","Breast","Breast","B","homogenate","homogenate",0.806,"normalised_d13c",-15.099138126154,"museum_measurement_0028",,,"keep",,,,,,,-15.099138126154,TRUE,FALSE,FALSE,FALSE,"museum_meta_026",1,"27","Canterbury Museum, Christchruch, New Zealand","Charadrius bicinctus","AV21986 Breast","Breast","Auckland Islands, New Zealand","Enderby Island","Enderby Island, Auckland Islands, New Zealand","16103",2,1944,"Adult","in moult","New Zealand",0,,"museum_coord_45",166.2922512,-50.4966988,"New Zealand",0,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","16103",2,1944,"Enderby Island",TRUE,TRUE,TRUE
"museum_triplicate_cn","data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls","Sample results_C&N",26,"AV21986 Breast_C",,"AV21986","AV21986","Breast","Breast","C","homogenate","homogenate",0.735,"normalised_d15n",16.273775342904,"museum_measurement_0029",,,"keep",,,,,,,16.273775342904,TRUE,FALSE,FALSE,FALSE,"museum_meta_026",1,"27","Canterbury Museum, Christchruch, New Zealand","Charadrius bicinctus","AV21986 Breast","Breast","Auckland Islands, New Zealand","Enderby Island","Enderby Island, Auckland Islands, New Zealand","16103",2,1944,"Adult","in moult","New Zealand",0,,"museum_coord_45",166.2922512,-50.4966988,"New Zealand",0,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","16103",2,1944,"Enderby Island",TRUE,TRUE,TRUE
"museum_triplicate_cn","data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls","Sample results_C&N",26,"AV21986 Breast_C",,"AV21986","AV21986","Breast","Breast","C","homogenate","homogenate",0.735,"normalised_d13c",-14.937287509679,"museum_measurement_0030",,,"keep",,,,,,,-14.937287509679,TRUE,FALSE,FALSE,FALSE,"museum_meta_026",1,"27","Canterbury Museum, Christchruch, New Zealand","Charadrius bicinctus","AV21986 Breast","Breast","Auckland Islands, New Zealand","Enderby Island","Enderby Island, Auckland Islands, New Zealand","16103",2,1944,"Adult","in moult","New Zealand",0,,"museum_coord_45",166.2922512,-50.4966988,"New Zealand",0,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","16103",2,1944,"Enderby Island",TRUE,TRUE,TRUE
