source_order,ring,model_id,model_label,prediction_available,class,probability,operational_call
13,CP19903,r2_a,Rung 2: R2 A breast-only C/N,TRUE,AU migrant,0.3035714285714286,indeterminate
13,CP19903,r2_a,Rung 2: R2 A breast-only C/N,TRUE,NZ migrant,0.30357142857142855,indeterminate
13,CP19903,r2_a,Rung 2: R2 A breast-only C/N,TRUE,resident,0.39285714285714285,indeterminate
13,CP19903,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,AU migrant,0.24136144646970437,indeterminate
13,CP19903,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,NZ migrant,0.30482708554376753,indeterminate
13,CP19903,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,resident,0.4538114679865281,indeterminate
13,CP19903,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,AU migrant,0.2577351356471623,indeterminate
13,CP19903,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,NZ migrant,0.28059760920078347,indeterminate
13,CP19903,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,resident,0.46166725515205426,indeterminate
14,CP19938,r1_c,Rung 1: R1 C paired-contrast C/N,FALSE,migrant,NA,NA
14,CP19938,r1_c,Rung 1: R1 C paired-contrast C/N,FALSE,resident,NA,NA
14,CP19938,r2_a,Rung 2: R2 A breast-only C/N,TRUE,AU migrant,0.3035714285714286,indeterminate
14,CP19938,r2_a,Rung 2: R2 A breast-only C/N,TRUE,NZ migrant,0.30357142857142855,indeterminate
14,CP19938,r2_a,Rung 2: R2 A breast-only C/N,TRUE,resident,0.39285714285714285,indeterminate
14,CP19938,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,FALSE,AU migrant,NA,NA
14,CP19938,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,FALSE,NZ migrant,NA,NA
14,CP19938,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,FALSE,resident,NA,NA
14,CP19938,r2_s2,Rung 2: R2 S2 staged hierarchical approach,FALSE,AU migrant,NA,NA
14,CP19938,r2_s2,Rung 2: R2 S2 staged hierarchical approach,FALSE,NZ migrant,NA,NA
14,CP19938,r2_s2,Rung 2: R2 S2 staged hierarchical approach,FALSE,resident,NA,NA
15,CP19939,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,migrant,0.6143455830438788,migrant
15,CP19939,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,resident,0.38565441695612124,migrant
15,CP19939,r2_a,Rung 2: R2 A breast-only C/N,TRUE,AU migrant,0.3035714285714286,indeterminate
15,CP19939,r2_a,Rung 2: R2 A breast-only C/N,TRUE,NZ migrant,0.30357142857142855,indeterminate
15,CP19939,r2_a,Rung 2: R2 A breast-only C/N,TRUE,resident,0.39285714285714285,indeterminate
15,CP19939,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,AU migrant,0.24252294218417528,indeterminate
15,CP19939,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,NZ migrant,0.4138255848182643,indeterminate
15,CP19939,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,resident,0.3436514729975604,indeterminate
15,CP19939,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,AU migrant,0.2885955550057668,indeterminate
15,CP19939,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,NZ migrant,0.3140011876279599,indeterminate
15,CP19939,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,resident,0.3974032573662733,indeterminate
16,CP19940,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,migrant,0.5975589119734137,migrant
16,CP19940,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,resident,0.4024410880265863,migrant
