candidate_id,candidate_label,caution_level,uses_r1_upstream,uses_breast_h,uses_primary_h,uses_hard_or_soft_staging,validation_layer,split_id,repeat_id,fold_id,ring,coord_group,longitude_capture,latitude_capture,truth,resident,NZ migrant,AU migrant,base_class,r1_prob_migrant,p_au_given_migrant,uncertainty_prob_resident,uncertainty_prob_NZ_migrant,uncertainty_prob_AU_migrant,uncertainty_class,class_support,top_class_mean_prob,top_class_prob_q10,top_class_prob_q90,any_draw_class_flip,switch_rate_from_base,top_prob_base,top_prob_mean,top_prob_abs_shift,indeterminate,operational_call,final_class_changed
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,staged_r1c_then_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,soft_hierarchical,blocked_coordinate_cv,Fold2,NA,Fold2,CP19368,"173.0307,-41.11812",173.0307,-41.11812,AU migrant,0.1739530303806731,0.34995622595636344,0.47609074366296344,AU migrant,0.8260469696193269,0.576348272159831,0.17710430191747628,0.3484170455766243,0.47447865250589943,AU migrant,1,0.47447865250589943,0.4491633680707536,0.4998536401373846,FALSE,0,0.47609074366296344,0.47447865250589943,NA,TRUE,indeterminate,FALSE
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,staged_r1c_then_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,soft_hierarchical,blocked_coordinate_cv,Fold2,NA,Fold2,CP19371,"173.031797,-41.120263",173.031797,-41.120263,resident,0.4883834842986964,0.336104954859056,0.17551156084224762,resident,0.5116165157013036,0.34305296145817993,0.48643174281018076,0.33729019689501083,0.17627806029480841,resident,0.976,0.48643174281018076,0.43698591720330715,0.5306199658347049,TRUE,0.024,0.4883834842986964,0.48643174281018076,NA,TRUE,indeterminate,FALSE
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,staged_r1c_then_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,soft_hierarchical,blocked_coordinate_cv,Fold2,NA,Fold2,CP19923,"168.433515,-46.606197",168.433515,-46.606197,resident,0.6006972505472534,0.14689973020104266,0.25240301925170394,resident,0.39930274945274663,0.6321093946826761,0.5886441678155877,0.15091731709780332,0.260438515086609,resident,1,0.5886441678155877,0.5506706140822638,0.6212564875503852,FALSE,0,0.6006972505472534,0.5886441678155877,NA,FALSE,resident,FALSE
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,staged_r1c_then_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,soft_hierarchical,blocked_coordinate_cv,Fold3,NA,Fold3,04258275,"167.744617,-45.414383",167.744617,-45.414383,AU migrant,0.5529067065715136,0.20422441467235244,0.24286887875613397,resident,0.4470932934284864,0.5432174499727346,0.5458472509219929,0.2074659383165201,0.246686810761487,resident,0.99,0.5458472509219929,0.4490780214773046,0.645688271807437,TRUE,0.01,0.5529067065715136,0.5458472509219929,0.007059455649520707,FALSE,resident,FALSE
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,staged_r1c_then_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,soft_hierarchical,blocked_coordinate_cv,Fold3,NA,Fold3,CP16470,"173.663729,-42.413163",173.663729,-42.413163,resident,0.4241889273511338,0.2724678714644589,0.30334320118440733,resident,0.5758110726488662,0.5268102952396475,0.42185430914665323,0.27350105387431733,0.3046446369790295,resident,0.842,0.42185430914665323,0.3248994790650304,0.5122062825853193,TRUE,0.158,0.4241889273511338,0.42185430914665323,NA,TRUE,indeterminate,FALSE
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,staged_r1c_then_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,soft_hierarchical,blocked_coordinate_cv,Fold3,NA,Fold3,CP16534,"170.145302,-43.731722",170.145302,-43.731722,AU migrant,0.0712491288349888,0.4520698565237516,0.4766810146412596,AU migrant,0.9287508711650112,0.5132496016324788,0.07540579099882205,0.4499190327713344,0.47467517622984357,AU migrant,1,0.47467517622984357,0.4607274935121409,0.48717655297984447,FALSE,0,0.4766810146412596,0.47467517622984357,NA,TRUE,indeterminate,FALSE
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,staged_r1c_then_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,soft_hierarchical,blocked_coordinate_cv,Fold3,NA,Fold3,CP16627,"172.684973,-43.82787",172.684973,-43.82787,resident,0.7304403832169974,0.13006953670196136,0.13949008008104113,resident,0.2695596167830025,0.5174739515723963,0.6938943094202109,0.14773087818818526,0.15837481239160384,resident,1,0.6938943094202109,0.630263691414506,0.7405788098795915,FALSE,0,0.7304403832169974,0.6938943094202109,NA,FALSE,resident,FALSE
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,staged_r1c_then_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,soft_hierarchical,blocked_coordinate_cv,Fold3,NA,Fold3,CP16628,"172.684973,-43.82787",172.684973,-43.82787,resident,0.5581156995363051,0.21235299252965525,0.2295313079340396,resident,0.44188430046369487,0.5194375715389279,0.5602637711683811,0.21138134512887394,0.22835488370274493,resident,1,0.5602637711683811,0.465349135881405,0.6521447585721708,FALSE,0,0.5581156995363051,0.5602637711683811,NA,FALSE,resident,FALSE
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,staged_r1c_then_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,soft_hierarchical,blocked_coordinate_cv,Fold3,NA,Fold3,CP16958,"176.92653497681,-39.5726949814707",176.92653497681,-39.5726949814707,NZ migrant,0.35370231181403733,0.327818202824344,0.3184794853616187,resident,0.6462976881859627,0.492775219814775,0.3517776519572198,0.32886883713771276,0.3193535109050675,resident,0.56,0.3517776519572198,0.26532400523524774,0.4483927392319617,TRUE,0.44,0.35370231181403733,0.3517776519572198,NA,TRUE,indeterminate,FALSE
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,staged_r1c_then_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,soft_hierarchical,blocked_coordinate_cv,Fold3,NA,Fold3,CP19350,"172.591216,-43.832075",172.591216,-43.832075,NZ migrant,0.276668590282074,0.33583819555382266,0.3874932141641033,AU migrant,0.723331409717926,0.5357063290189654,0.2789041657841785,0.33476348313484705,0.38633235108097447,AU migrant,0.828,0.38633235108097447,0.3391546161890251,0.42935695444114436,TRUE,0.172,0.3874932141641033,0.38633235108097447,NA,TRUE,indeterminate,FALSE
