candidate_id,candidate_label,strategy_family,caution_level,uses_r1_upstream,uses_breast_h,uses_primary_h,uses_hard_or_soft_staging,validation_layer,split_id,repeat_id,fold_id,n_analysis,n_assessment,log_loss,balanced_accuracy,accuracy,brier,mean_top_prob,weak_support_rate
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat07__Fold2,Repeat07,Fold2,43,13,1.1461542308588268,0.35000000000000003,0.38461538461538464,0.23192326167134542,0.521715188614207,0.5384615384615384
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat07__Fold3,Repeat07,Fold3,46,10,1.0339469932199332,0.6666666666666666,0.7,0.20807867683202233,0.4062577622869902,1
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat07__Fold4,Repeat07,Fold4,46,10,0.8703807928094854,0.4444444444444444,0.5,0.17259578254771396,0.48294429354421753,0.8
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat07__Fold5,Repeat07,Fold5,46,10,0.9744700353660448,0.5833333333333333,0.6,0.19571896732264596,0.4460518799948221,0.8
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat08__Fold1,Repeat08,Fold1,43,13,1.0367655058066518,0.35000000000000003,0.38461538461538464,0.2095645503466462,0.5049298176045294,0.5384615384615384
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat08__Fold2,Repeat08,Fold2,43,13,0.8957812274573175,0.6666666666666666,0.6923076923076923,0.176572935780993,0.451928314741892,0.9230769230769231
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat08__Fold3,Repeat08,Fold3,46,10,0.860520981404006,0.7777777777777778,0.8,0.1681233530385549,0.4335800485712601,0.9
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat08__Fold4,Repeat08,Fold4,46,10,0.9626639012852826,0.5555555555555556,0.6,0.19141559542149963,0.4628547718540627,0.7
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat08__Fold5,Repeat08,Fold5,46,10,0.9766220439764604,0.5833333333333333,0.6,0.19740245085851205,0.5250453214090989,0.5
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat09__Fold1,Repeat09,Fold1,43,13,0.9236358904693094,0.6833333333333333,0.6923076923076923,0.18256048035492972,0.4370501679386334,0.8461538461538461
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat09__Fold2,Repeat09,Fold2,43,13,1.0151990707711307,0.6666666666666666,0.6923076923076923,0.20152602809422543,0.42952785594450155,0.9230769230769231
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat09__Fold3,Repeat09,Fold3,46,10,1.0091650008471664,0.4444444444444444,0.5,0.20159416521217277,0.41133997645376386,1
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat09__Fold4,Repeat09,Fold4,46,10,1.1196752983431788,0.4444444444444444,0.5,0.2280123841436328,0.44800939361149217,0.8
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat09__Fold5,Repeat09,Fold5,46,10,1.0434838717359487,0.33333333333333337,0.4,0.2097148612480004,0.39625460959397696,1
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat10__Fold1,Repeat10,Fold1,43,13,0.8047872946616236,0.6666666666666666,0.6923076923076923,0.1514197068143713,0.6068094538088442,0.3076923076923077
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat10__Fold2,Repeat10,Fold2,43,13,1.0150927770160891,0.5833333333333334,0.6153846153846154,0.202749728551166,0.38988951427920504,1
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat10__Fold3,Repeat10,Fold3,46,10,1.0437596538966258,0.4444444444444444,0.5,0.21036473603684475,0.4159705634290667,1
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat10__Fold4,Repeat10,Fold4,46,10,1.089058295561474,0.33333333333333337,0.4,0.22003780718336483,0.39130434782608686,1
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat10__Fold5,Repeat10,Fold5,46,10,1.0114410063545982,0.5555555555555556,0.6,0.20202395236128856,0.4094676468475248,1
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,soft_hierarchical_two_step,staged_r1c_then_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,soft_hierarchical,repeated_stratified_cv,Repeat01__Fold1,Repeat01,Fold1,43,13,1.101264467104817,0.5166666666666667,0.5384615384615384,0.22392969978064145,0.5224098342044745,0.6153846153846154
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,soft_hierarchical_two_step,staged_r1c_then_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,soft_hierarchical,repeated_stratified_cv,Repeat01__Fold2,Repeat01,Fold2,43,13,0.8010902348293204,0.9166666666666666,0.9230769230769231,0.1553722102458179,0.45511838594172294,0.6923076923076923
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,soft_hierarchical_two_step,staged_r1c_then_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,soft_hierarchical,repeated_stratified_cv,Repeat01__Fold3,Repeat01,Fold3,46,10,0.9159037002712339,0.5555555555555556,0.6,0.1810386526356787,0.5204792894364333,0.4
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,soft_hierarchical_two_step,staged_r1c_then_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,soft_hierarchical,repeated_stratified_cv,Repeat01__Fold4,Repeat01,Fold4,46,10,0.8486610032241857,0.5555555555555556,0.6,0.16863668475259844,0.49035038663686814,0.6
