"specimen_id","feather_type","region","museum","species","general_collection_location","specific_collection_location","location_label","collection_date_raw","collection_month","collection_year","geo_region","geo_region_bin","lon","lat","isotopes_available","isotopes_available_n","source_branches_all","source_metadata_row_ids","coordinate_row_ids","coordinate_source","value_mean_normalised_d13c","value_mean_normalised_d15n","value_mean_normalised_d18o","value_mean_normalised_d2h","value_sd_normalised_d13c","value_sd_normalised_d15n","value_sd_normalised_d18o","value_sd_normalised_d2h","n_measurements_normalised_d13c","n_measurements_normalised_d15n","n_measurements_normalised_d18o","n_measurements_normalised_d2h","source_measurement_ids_normalised_d13c","source_measurement_ids_normalised_d15n","source_measurement_ids_normalised_d18o","source_measurement_ids_normalised_d2h","has_d13c","has_d15n","has_d18o","has_d2h","has_all_4_isotopes","has_core_3_isotopes"
"A28886","Primary","Rachis","Western Australia Museum, Perth, Australia","Charadrius bicinctus","Western Australia, Australia","Point Malcom (-33.7833, 123.7500)","Point Malcom (-33.7833, 123.7500), Western Australia, Australia","27/11/2001",11,2001,"Australia",1,123.7442022,-33.7394625,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_065","museum_coord_39","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-21.8756148019512,5.05744392686524,,,,,,,1,1,,,"museum_measurement_0155","museum_measurement_0154",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"A28886","Primary","homogenate","Western Australia Museum, Perth, Australia","Charadrius bicinctus","Western Australia, Australia","Point Malcom (-33.7833, 123.7500)","Point Malcom (-33.7833, 123.7500), Western Australia, Australia","27/11/2001",11,2001,"Australia",1,123.7442022,-33.7394625,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_065","museum_coord_39","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-22.8016938571176,5.1683670268687,,,,,,,1,1,,,"museum_measurement_0153","museum_measurement_0152",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"A9452","Breast","homogenate","Western Australia Museum, Perth, Australia","Charadrius bicinctus","Western Australia, Australia","Leeman Salt Lake (-29.9500, 114.9667)","Leeman Salt Lake (-29.9500, 114.9667), Western Australia, Australia","23567",7,1964,"Australia",1,115.0067215,-29.9367636,"normalised_d13c|normalised_d15n|normalised_d18o|normalised_d2h",4,"museum_batch_cn|museum_batch_h|museum_batch_o","museum_meta_066","museum_coord_40","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-21.7820713822958,7.06118688888492,11.0332210111193,-58.702910680479,,,,,1,1,1,1,"museum_measurement_0151","museum_measurement_0150","museum_measurement_0176","museum_measurement_0221",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"A9452","Primary","Barb","Western Australia Museum, Perth, Australia","Charadrius bicinctus","Western Australia, Australia","Leeman Salt Lake (-29.9500, 114.9667)","Leeman Salt Lake (-29.9500, 114.9667), Western Australia, Australia","23567",7,1964,"Australia",1,115.0067215,-29.9367636,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_067","museum_coord_41","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-22.1855825795401,7.62089432053187,,,,,,,1,1,,,"museum_measurement_0163","museum_measurement_0162",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"A9452","Primary","Rachis","Western Australia Museum, Perth, Australia","Charadrius bicinctus","Western Australia, Australia","Leeman Salt Lake (-29.9500, 114.9667)","Leeman Salt Lake (-29.9500, 114.9667), Western Australia, Australia","23567",7,1964,"Australia",1,115.0067215,-29.9367636,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_067","museum_coord_41","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-22.2780647689191,7.26004483846571,,,,,,,1,1,,,"museum_measurement_0161","museum_measurement_0160",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"A9452","Primary","homogenate","Western Australia Museum, Perth, Australia","Charadrius bicinctus","Western Australia, Australia","Leeman Salt Lake (-29.9500, 114.9667)","Leeman Salt Lake (-29.9500, 114.9667), Western Australia, Australia","23567",7,1964,"Australia",1,115.0067215,-29.9367636,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_067","museum_coord_41","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-22.5319418104718,7.16612146412869,,,,,,,1,1,,,"museum_measurement_0159","museum_measurement_0158",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"AV1740","Breast","homogenate","Canterbury Museum, Christchruch, New Zealand","Charadrius bicinctus","Chatham Island, New Zealand","Waitangi West","Waitangi West, Chatham Island, New Zealand","8753",12,1923,"New Zealand",0,183.1842421,-43.7908469,"normalised_d13c|normalised_d15n",2,"museum_triplicate_cn","museum_meta_020","museum_coord_42","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-18.2448762086287,10.8953872915584,,,0.187410359833112,0.244843033102735,,,3,3,,,"museum_measurement_0014|museum_measurement_0016|museum_measurement_0018","museum_measurement_0013|museum_measurement_0015|museum_measurement_0017",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"AV1747","Breast","homogenate","Canterbury Museum, Christchruch, New Zealand","Charadrius bicinctus","North Island, New Zealand","Paraparaumu, Wellington","Paraparaumu, Wellington, North Island, New Zealand","10458",8,1928,"New Zealand",0,174.7787463,-41.2923814,"normalised_d13c|normalised_d15n",2,"museum_triplicate_cn","museum_meta_024","museum_coord_43","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-14.8877483272778,14.2742844003679,,,0.672885581401567,0.498111719108879,,,3,3,,,"museum_measurement_0020|museum_measurement_0022|museum_measurement_0024","museum_measurement_0019|museum_measurement_0021|museum_measurement_0023",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"AV1755","Breast","homogenate","Canterbury Museum, Christchruch, New Zealand","Charadrius bicinctus","Chatham Island, New Zealand","Waitangi West","Waitangi West, Chatham Island, New Zealand","8753",12,1923,"New Zealand",0,183.1842421,-43.7908469,"normalised_d13c|normalised_d15n",2,"museum_triplicate_cn","museum_meta_032","museum_coord_44","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-22.8306436754224,9.34185228136122,,,0.0285080538078554,0.117435133626882,,,3,3,,,"museum_measurement_0032|museum_measurement_0034|museum_measurement_0036","museum_measurement_0031|museum_measurement_0033|museum_measurement_0035",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"AV21986","Breast","homogenate","Canterbury Museum, Christchruch, New Zealand","Charadrius bicinctus","Auckland Islands, New Zealand","Enderby Island","Enderby Island, Auckland Islands, New Zealand","16103",2,1944,"New Zealand",0,166.2922512,-50.4966988,"normalised_d13c|normalised_d15n|normalised_d18o|normalised_d2h",4,"museum_triplicate_cn|museum_triplicate_h|museum_triplicate_o","museum_meta_026","museum_coord_45","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-15.0017563086942,15.9268468828728,15.9975120387698,0.38543116377598,0.0857983426453671,0.305233660332011,0.0644286942307711,3.57477103438458,3,3,2,3,"museum_measurement_0026|museum_measurement_0028|museum_measurement_0030","museum_measurement_0025|museum_measurement_0027|museum_measurement_0029","museum_measurement_0068|museum_measurement_0069","museum_measurement_0055|museum_measurement_0056|museum_measurement_0057",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AV21987","Breast","homogenate","Canterbury Museum, Christchruch, New Zealand","Charadrius bicinctus","Auckland Islands, New Zealand","Enderby Island","Enderby Island, Auckland Islands, New Zealand","16103",2,1944,"New Zealand",0,166.2922512,-50.4966988,"normalised_d13c|normalised_d15n|normalised_d18o|normalised_d2h",4,"museum_triplicate_cn|museum_triplicate_h|museum_triplicate_o","museum_meta_034","museum_coord_46","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-15.951483511029,15.7856164274003,14.8517741778632,-8.09529883011465,1.96408549453704,0.30261488570847,0.813240387494309,0.230083502978541,3,3,3,2,"museum_measurement_0038|museum_measurement_0040|museum_measurement_0042","museum_measurement_0037|museum_measurement_0039|museum_measurement_0041","museum_measurement_0070|museum_measurement_0071|museum_measurement_0072","museum_measurement_0058|museum_measurement_0059",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AV2421","Breast","homogenate","Canterbury Museum, Christchruch, New Zealand","Charadrius bicinctus","South Island, New Zealand","Lake Ellesmere, Canterbury","Lake Ellesmere, Canterbury, South Island, New Zealand","3866",8,1910,"New Zealand",0,172.4969331,-43.7927896,"normalised_d13c|normalised_d15n|normalised_d18o|normalised_d2h",4,"museum_triplicate_cn|museum_triplicate_h|museum_triplicate_o","museum_meta_038","museum_coord_47","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-19.8406486389898,10.918316471388,14.5460489952358,-19.6711463682269,1.50191291714519,0.552399418129436,0.96089999041259,2.65365859829068,3,3,3,3,"museum_measurement_0050|museum_measurement_0052|museum_measurement_0054","museum_measurement_0049|museum_measurement_0051|museum_measurement_0053","museum_measurement_0073|museum_measurement_0074|museum_measurement_0075","museum_measurement_0060|museum_measurement_0061|museum_measurement_0062",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AV3132-OMNZ","Breast","Barb","Otago Museum, Dunedin, New Zealand","Charadrius bicinctus","South Island, New Zealand","Otago Peninsula","Otago Peninsula, South Island, New Zealand","19535",6,1953,"New Zealand",0,170.6860214,-45.8188569,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_008","museum_coord_48","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-12.4658061045878,12.1953607566875,,,,,,,1,1,,,"museum_measurement_0117","museum_measurement_0116",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"AV3132-OMNZ","Breast","Rachis","Otago Museum, Dunedin, New Zealand","Charadrius bicinctus","South Island, New Zealand","Otago Peninsula","Otago Peninsula, South Island, New Zealand","19535",6,1953,"New Zealand",0,170.6860214,-45.8188569,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_008","museum_coord_48","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-12.3621447494597,11.9509547104556,,,,,,,1,1,,,"museum_measurement_0115","museum_measurement_0114",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"AV3132-OMNZ","Breast","homogenate","Otago Museum, Dunedin, New Zealand","Charadrius bicinctus","South Island, New Zealand","Otago Peninsula","Otago Peninsula, South Island, New Zealand","19535",6,1953,"New Zealand",0,170.6860214,-45.8188569,"normalised_d13c|normalised_d15n|normalised_d18o|normalised_d2h",4,"museum_batch_cn|museum_batch_h|museum_batch_o","museum_meta_008","museum_coord_48","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-13.3432610872254,10.3661263206102,17.4164477296952,-42.1045274571183,,,,,1,1,1,1,"museum_measurement_0113","museum_measurement_0112","museum_measurement_0177","museum_measurement_0209",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AV314-OMNZ","Breast","homogenate","Otago Museum, Dunedin, New Zealand","Charadrius bicinctus","Stewart Island, New Zealand",,"Stewart Island, New Zealand","pre-1944",,1944,"New Zealand",0,167.8272285,-47.0103212,"normalised_d13c|normalised_d15n",2,"museum_triplicate_cn","museum_meta_014","museum_coord_49","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-11.6154478130522,10.4065637621466,,,0.457803421817632,0.202162015602544,,,3,3,,,"museum_measurement_0002|museum_measurement_0004|museum_measurement_0006","museum_measurement_0001|museum_measurement_0003|museum_measurement_0005",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"AV705","Breast","homogenate","Canterbury Museum, Christchruch, New Zealand","Charadrius bicinctus","South Island, New Zealand","Lake Ellesmere, Canterbury","Lake Ellesmere, Canterbury, South Island, New Zealand","1914",3,1914,"New Zealand",0,172.4969331,-43.7927896,"normalised_d13c|normalised_d15n|normalised_d18o|normalised_d2h",4,"museum_triplicate_cn|museum_triplicate_h|museum_triplicate_o","museum_meta_036","museum_coord_50","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-22.1873129231441,11.4430291518375,13.1915019702169,0.926570653049491,0.449377442870484,0.902156831220647,0.438639795200298,5.3372301629255,3,3,3,2,"museum_measurement_0044|museum_measurement_0046|museum_measurement_0048","museum_measurement_0043|museum_measurement_0045|museum_measurement_0047","museum_measurement_0076|museum_measurement_0077|museum_measurement_0078","museum_measurement_0063|museum_measurement_0064",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AV706","Breast","homogenate","Canterbury Museum, Christchruch, New Zealand","Charadrius bicinctus","North Island, New Zealand","Porirua","Porirua, North Island, New Zealand","3136",8,1908,"New Zealand",0,174.8472141,-41.1380517,"normalised_d13c|normalised_d15n|normalised_d18o|normalised_d2h",4,"museum_triplicate_cn|museum_triplicate_h|museum_triplicate_o","museum_meta_018","museum_coord_51","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-16.8316522723212,9.00755148558404,14.5182345579094,-71.5625626597919,1.4523548362118,0.588690280715734,0.361608105263962,4.65370188801109,3,3,3,3,"museum_measurement_0008|museum_measurement_0010|museum_measurement_0012","museum_measurement_0007|museum_measurement_0009|museum_measurement_0011","museum_measurement_0079|museum_measurement_0080|museum_measurement_0081","museum_measurement_0065|museum_measurement_0066|museum_measurement_0067",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AV708","Breast","homogenate","Canterbury Museum, Christchruch, New Zealand","Charadrius bicinctus","North Island, New Zealand","Mud Flats Parkhurst, North Auckland","Mud Flats Parkhurst, North Auckland, North Island, New Zealand","9 May 1899",5,1899,"New Zealand",0,174.7644881,-36.8508827,"normalised_d13c|normalised_d15n|normalised_d18o|normalised_d2h",4,"museum_batch_cn|museum_batch_h|museum_batch_o","museum_meta_016","museum_coord_52","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-15.8626244183992,12.0290894939972,14.4222591236585,-14.2597758600015,,,,,1,1,1,1,"museum_measurement_0083","museum_measurement_0082","museum_measurement_0178","museum_measurement_0193",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"MNHN-Z0-M0-2003-799","Breast","homogenate","Museum of Natural History, Paris, France","Charadrius bicinctus","South Island, New Zealand","Canterbury Plains","Canterbury Plains, South Island, New Zealand","July, 1874",7,1874,"New Zealand",0,172.1006571,-43.6357606,"normalised_d13c|normalised_d15n|normalised_d18o|normalised_d2h",4,"museum_batch_cn|museum_batch_h|museum_batch_o","museum_meta_003","museum_coord_53","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-17.632117321397,10.9057898504353,15.8068369446128,-31.1773792101271,,,,,1,1,1,1,"museum_measurement_0085","museum_measurement_0084","museum_measurement_0174","museum_measurement_0194",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
