"ring","sex","status","status_bin","status_known","sampling_location_general","sampling_location_specific","sampling_site_label","longitude_capture","latitude_capture","tag_id_adjusted","migratory_status_comment","source_phenotype_row_ids","n_tissues_present","tissues_present","has_any_pending_manual_qc","pending_manual_qc_reasons_any","normalised_d13c_Breast","normalised_d13c_Primary","normalised_d15n_Breast","normalised_d15n_Primary","normalised_d2h_Breast","normalised_d2h_Primary","cn_mass_ratio_Breast","cn_mass_ratio_Primary","amount_mg_mean_Breast","amount_mg_mean_Primary","n_assays_Breast","n_assays_Primary","n_unique_samples_Breast","n_unique_samples_Primary","source_measurement_ids_Breast","source_measurement_ids_Primary","source_measurement_ids_model_Breast","source_measurement_ids_model_Primary","has_pending_manual_qc_Breast","has_pending_manual_qc_Primary","pending_manual_qc_reasons_Breast","pending_manual_qc_reasons_Primary","has_breast","has_primary","has_breast_d2h","has_primary_d2h","has_paired_h","has_complete_cn_pair","has_complete_cnh_pair","has_pending_manual_qc","pending_manual_qc_reasons","delta_d13c_breast_minus_primary","delta_d15n_breast_minus_primary"
"CP16655","F","AU migrant","migrant",TRUE,"South Island, New Zealand","Tasman River, Mt. Cook National Park","Tasman River",170.144062,-43.736643,"266382","PTT revealed this bird migrating to Cape Barren Island, Tasmania (arrival: March 20)","live_pheno_008|live_pheno_025",2,"Breast|Primary",FALSE,,-24.7559366505141,-22.3998596098855,7.8216830215885,4.15782584920362,4.85116659614611,-21.2491403372569,3.49065133595308,3.40269035384714,0.275,0.213,2,2,2,2,"live_measurement_0093|live_measurement_0094|live_measurement_0359","live_measurement_0095|live_measurement_0096|live_measurement_0360","live_measurement_0093|live_measurement_0094|live_measurement_0359","live_measurement_0095|live_measurement_0096|live_measurement_0360",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,-2.35607704062864,3.66385717238488
"CP16656","M","AU migrant","migrant",TRUE,"South Island, New Zealand","Tasman River, Mt. Cook National Park","Tasman River",170.146122,-43.727942,"266418","PTT revealed this bird migrating to Lake Gellie and Lake Corongamite, inland Victoria (arrival: April 27, departure: June 22)","live_pheno_009|live_pheno_026",2,"Breast|Primary",FALSE,,-21.9086897983393,-23.5834103533861,12.5950059846792,3.88752192894621,14.2174683824138,-17.702594540272,3.46010613576185,3.38601652186944,0.244,0.2055,2,2,2,2,"live_measurement_0097|live_measurement_0098|live_measurement_0361","live_measurement_0099|live_measurement_0100|live_measurement_0362","live_measurement_0097|live_measurement_0098|live_measurement_0361","live_measurement_0099|live_measurement_0100|live_measurement_0362",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,1.67472055504686,8.70748405573301
"CP16667","M","AU migrant","migrant",TRUE,"South Island, New Zealand","Pisa Range, Otago","Pisa Range",169.161329995841,-44.8660619650036,"266470_B","PTT revealed this bird migrating to Corner Inlet, Victoria (arrival: May 21, departure: Sep 14)","live_pheno_010|live_pheno_027",2,"Breast|Primary",FALSE,,-16.9847442701969,-22.8979289872113,9.53620500785815,6.43119266062136,-7.09243244003951,-48.4333430876636,3.4562707982674,3.4301838239043,0.2575,0.2165,2,2,2,2,"live_measurement_0101|live_measurement_0102|live_measurement_0363","live_measurement_0103|live_measurement_0104|live_measurement_0364","live_measurement_0101|live_measurement_0102|live_measurement_0363","live_measurement_0103|live_measurement_0104|live_measurement_0364",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,5.91318471701446,3.10501234723678
"CP16693","F","SI migrant","migrant",TRUE,"South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete",172.608074,-43.830353,"266394","PTT revealed that the bird left the breeding grounds at Birdlings Flat in late October and went to the agricultural fields near the Rakaia River where it stayed until July, when it returned to Birdling's Flat","live_pheno_052|live_pheno_062",2,"Breast|Primary",FALSE,,-23.9903077104457,-23.5712912185321,10.3932300598609,9.98347458645412,-26.71935198726,-14.9088613419557,3.36312580566798,3.50217645091409,0.16275,0.2435,2,2,2,2,"live_measurement_0133|live_measurement_0135|live_measurement_0134|live_measurement_0136|live_measurement_0379","live_measurement_0137|live_measurement_0138|live_measurement_0380","live_measurement_0135|live_measurement_0136|live_measurement_0379","live_measurement_0137|live_measurement_0138|live_measurement_0380",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,-0.419016491913609,0.409755473406777
"CP16784","F","resident","resident",TRUE,"South Island, New Zealand","Tiwai Point, Canterbury","Tiwai Point",168.433454,-46.606459,"266454","PTT revealed that the bird moved to Waipapa Point for two weeks (Nov 13 to Dec 1) before returning to Tiwai Point / Awarua Bay for the remainder of the year","live_pheno_078|live_pheno_100",2,"Breast|Primary",FALSE,,-17.7753149745893,-20.600078291815,12.4697845155605,10.0258155122885,5.41951563916892,-14.6065660589455,3.35108450728275,3.57774690055043,0.2145,0.225,2,2,2,2,"live_measurement_0139|live_measurement_0140|live_measurement_0381","live_measurement_0141|live_measurement_0142|live_measurement_0382","live_measurement_0139|live_measurement_0140|live_measurement_0381","live_measurement_0141|live_measurement_0142|live_measurement_0382",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,2.82476331722566,2.443969003272
"CP16815","M","AU migrant","migrant",TRUE,"South Island, New Zealand","Tasman River, Mt. Cook National Park","Tasman River",170.143369,-43.736814,"266412","PTT revealed this bird migrating to the mouth of the Manning River, New South Wales (arrival: May 29) - after breeding season it staged at the Clutha River Mouth April 23 to May 20.","live_pheno_011|live_pheno_028",2,"Breast|Primary",FALSE,,-11.5019399887621,-22.1190010157748,10.336486782594,3.38283743018004,1.61521541282142,-29.146229421724,3.45153596485853,3.49483567242185,0.2265,0.2315,2,2,2,2,"live_measurement_0143|live_measurement_0144|live_measurement_0383","live_measurement_0145|live_measurement_0146|live_measurement_0384","live_measurement_0143|live_measurement_0144|live_measurement_0383","live_measurement_0145|live_measurement_0146|live_measurement_0384",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,10.6170610270126,6.95364935241395
"CP16906","F","resident","resident",TRUE,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura",173.681912,-42.392022,,"Ailsa observation","live_pheno_079|live_pheno_101",2,"Breast|Primary",FALSE,,-16.5028394162731,-13.6498010358103,13.1400023297407,15.2595855384279,0.256205020893907,-13.6066491723206,3.32597487741899,3.46009977035282,0.217,0.21,2,2,2,2,"live_measurement_0147|live_measurement_0148|live_measurement_0385","live_measurement_0149|live_measurement_0150|live_measurement_0386","live_measurement_0147|live_measurement_0148|live_measurement_0385","live_measurement_0149|live_measurement_0150|live_measurement_0386",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,-2.85303838046281,-2.11958320868722
"CP16938","M","NI migrant","migrant",TRUE,"South Island, New Zealand","Rangipo Desert, Tongariro National Park","Rangipo Desert",175.727142,-39.291327,,"Resighting at Omaha Spit, North Island on March 15","live_pheno_036|live_pheno_043",2,"Breast|Primary",FALSE,,-11.7732858837485,-24.5751595556081,13.0505573731248,4.03031000921216,5.92872165565658,-15.7371655440715,3.47017582461009,3.37871813694405,0.215,0.217,2,2,2,2,"live_measurement_0151|live_measurement_0152|live_measurement_0387","live_measurement_0153|live_measurement_0154|live_measurement_0388","live_measurement_0151|live_measurement_0152|live_measurement_0387","live_measurement_0153|live_measurement_0154|live_measurement_0388",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,12.8018736718596,9.02024736391264
"CP16945","M","NI migrant","migrant",TRUE,"South Island, New Zealand","Rangipo Desert, Tongariro National Park","Rangipo Desert",175.702629005536,-39.379794029519,,"Resighting at Omaha Spit, North Island on Jan 12","live_pheno_037|live_pheno_044",2,"Breast|Primary",FALSE,,-11.7238269708072,-24.6080177935943,13.2076893499419,4.96402290137249,6.53339665206986,-16.5460744738314,3.49665768443661,3.45453233485409,0.2245,0.2125,2,2,2,2,"live_measurement_0155|live_measurement_0156|live_measurement_0389","live_measurement_0157|live_measurement_0158|live_measurement_0390","live_measurement_0155|live_measurement_0156|live_measurement_0389","live_measurement_0157|live_measurement_0158|live_measurement_0390",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,12.8841908227871,8.24366644856944
"CP16953","M","NI migrant","migrant",TRUE,"South Island, New Zealand","Rangipo Desert, Tongariro National Park","Rangipo Desert",175.700161037967,-39.3611319735646,,"Resighting at Karaka, North Island on July 20","live_pheno_038|live_pheno_045",2,"Breast|Primary",FALSE,,-11.1905850372296,-24.7953238387897,18.6186586293908,6.09923939600272,3.99308970394748,-22.6027586527885,3.33228931606423,3.33030835414537,0.264,0.199,2,2,2,2,"live_measurement_0159|live_measurement_0160|live_measurement_0391","live_measurement_0161|live_measurement_0162|live_measurement_0392","live_measurement_0159|live_measurement_0160|live_measurement_0391","live_measurement_0161|live_measurement_0162|live_measurement_0392",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,13.6047388015601,12.5194192333881
