specimen_id,feather_replicate,isotope,n_measurements,value,geo_region,source_measurement_ids,source_branches,source_files,source_sheets,evidence_design
AV21986,C,normalised_d15n,1,16.273775342904,New Zealand,museum_measurement_0029,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV21987,A,normalised_d15n,1,15.4862078617987,New Zealand,museum_measurement_0037,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV21987,E,normalised_d15n,1,15.7793025952733,New Zealand,museum_measurement_0039,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV21987,H,normalised_d15n,1,16.091338825129,New Zealand,museum_measurement_0041,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV2421,B,normalised_d15n,1,10.7059723277482,New Zealand,museum_measurement_0049,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV2421,C,normalised_d15n,1,11.5453796936858,New Zealand,museum_measurement_0051,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV2421,D,normalised_d15n,1,10.50359739273,New Zealand,museum_measurement_0053,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV314-OMNZ,B,normalised_d15n,1,10.2733086735714,New Zealand,museum_measurement_0001,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV314-OMNZ,D,normalised_d15n,1,10.6391786299836,New Zealand,museum_measurement_0003,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV314-OMNZ,E,normalised_d15n,1,10.3072039828848,New Zealand,museum_measurement_0005,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
