ring,status,status_bin,status_known,longitude_capture,latitude_capture,sample_date,capture_year,capture_month,has_complete_cn_pair,has_complete_cnh_pair
CP16667,AU migrant,migrant,TRUE,169.161329995841,-44.8660619650036,2024-12-09,2024,12,TRUE,TRUE
CP16670,unknown,unknown,FALSE,169.215938011184,-45.3418160229921,2024-12-11,2024,12,TRUE,TRUE
CP16671,unknown,unknown,FALSE,169.213724015281,-45.3410719614476,2024-12-11,2024,12,TRUE,TRUE
CP16677,unknown,unknown,FALSE,169.20916903764,-45.3364670276642,2024-12-13,2024,12,TRUE,TRUE
CP16678,unknown,unknown,FALSE,169.20916903764,-45.3364670276642,2024-12-13,2024,12,TRUE,TRUE
CP16681,unknown,unknown,FALSE,175.731553025544,-39.2938620038331,2024-12-16,2024,12,TRUE,TRUE
CP16685,unknown,unknown,FALSE,175.731553025544,-39.2938620038331,2024-12-18,2024,12,TRUE,TRUE
CP16686,unknown,unknown,FALSE,169.211730966344,-45.3636030200869,2025-01-07,2025,1,TRUE,TRUE
CP16693,SI migrant,migrant,TRUE,172.608074,-43.830353,2024-09-30,2024,9,TRUE,TRUE
CP16784,resident,resident,TRUE,168.433454,-46.606459,2024-10-16,2024,10,TRUE,TRUE
CP16815,AU migrant,migrant,TRUE,170.143369,-43.736814,2024-10-10,2024,10,TRUE,TRUE
CP16906,resident,resident,TRUE,173.681912,-42.392022,2024-10-08,2024,10,TRUE,TRUE
CP16938,NI migrant,migrant,TRUE,175.727142,-39.291327,2024-11-04,2024,11,TRUE,TRUE
CP16945,NI migrant,migrant,TRUE,175.702629005536,-39.379794029519,2024-11-13,2024,11,TRUE,TRUE
CP16953,NI migrant,migrant,TRUE,175.700161037967,-39.3611319735646,2024-11-14,2024,11,TRUE,TRUE
CP16958,NI migrant,migrant,TRUE,176.92653497681,-39.5726949814707,2024-12-03,2024,12,TRUE,TRUE
CP16961,unknown,unknown,FALSE,176.893405001611,-39.485479015857,2024-12-04,2024,12,TRUE,TRUE
CP16962,unknown,unknown,FALSE,176.893405001611,-39.485479015857,2024-12-04,2024,12,TRUE,TRUE
CP16990,NI migrant,migrant,TRUE,176.930825,-39.575394,2024-10-31,2024,10,TRUE,TRUE
CP17010,resident,resident,TRUE,168.425144,-46.604315,2024-10-16,2024,10,TRUE,TRUE
CP17011,SI migrant,migrant,TRUE,168.425144,-46.604315,2024-10-16,2024,10,TRUE,TRUE
CP19307,unknown,unknown,FALSE,170.477445,-43.873901,2024-10-12,2024,10,TRUE,TRUE
CP19308,unknown,unknown,FALSE,170.477445,-43.873901,2024-10-12,2024,10,TRUE,TRUE
CP19311,SI migrant,migrant,TRUE,170.146284,-43.725414,2024-10-11,2024,10,TRUE,TRUE
CP19312,AU migrant,migrant,TRUE,170.145122,-43.729755,2024-10-11,2024,10,TRUE,TRUE
CP19314,AU migrant,migrant,TRUE,170.144119,-43.736765,2024-10-10,2024,10,TRUE,TRUE
CP19327,SI migrant,migrant,TRUE,173.011575,-40.993306,2024-10-04,2024,10,TRUE,TRUE
CP19340,AU migrant,migrant,TRUE,170.14463,-43.734073,2024-10-10,2024,10,TRUE,TRUE
CP19346,resident,resident,TRUE,172.431853,-43.845691,2024-10-02,2024,10,TRUE,TRUE
CP19350,SI migrant,migrant,TRUE,172.591216,-43.832075,2024-09-30,2024,9,TRUE,TRUE
CP19360,SI migrant,migrant,TRUE,173.030661,-41.11765,2024-10-04,2024,10,TRUE,TRUE
CP19361,resident,resident,TRUE,173.033468,-41.123473,2024-10-04,2024,10,TRUE,TRUE
CP19365,AU migrant,migrant,TRUE,170.143352,-43.73679,2024-10-10,2024,10,TRUE,TRUE
CP19366,AU migrant,migrant,TRUE,170.144062,-43.736643,2024-10-10,2024,10,TRUE,TRUE
CP19368,AU migrant,migrant,TRUE,173.0307,-41.11812,2024-10-11,2024,10,TRUE,TRUE
CP19371,resident,resident,TRUE,173.031797,-41.120263,2024-10-05,2024,10,TRUE,TRUE
CP19902,unknown,unknown,FALSE,170.478219,-43.873307,2024-10-12,2024,10,TRUE,TRUE
CP19903,unknown,unknown,FALSE,170.478219,-43.873307,2024-10-12,2024,10,TRUE,TRUE
CP19907,resident,resident,TRUE,167.746751,-45.414278,2024-10-14,2024,10,TRUE,TRUE
CP19908,resident,resident,TRUE,167.745905,-45.414044,2024-10-14,2024,10,TRUE,TRUE
CP19915,SI migrant,migrant,TRUE,168.430146,-46.605879,2024-10-16,2024,10,TRUE,TRUE
CP19921,resident,resident,TRUE,168.431945,-46.606263,2024-10-16,2024,10,TRUE,TRUE
CP19922,resident,resident,TRUE,168.431945,-46.606263,2024-10-17,2024,10,TRUE,TRUE
CP19923,resident,resident,TRUE,168.433515,-46.606197,2024-10-17,2024,10,TRUE,TRUE
CP19931,NI migrant,migrant,TRUE,176.919071981683,-39.5101300254464,2024-12-05,2024,12,TRUE,TRUE
CP19938,unknown,unknown,FALSE,169.187014997005,-44.8751709982753,2025-01-09,2025,1,FALSE,FALSE
CP19939,unknown,unknown,FALSE,169.187014997005,-44.8751709982753,2025-01-09,2025,1,TRUE,TRUE
CP19940,unknown,unknown,FALSE,169.180542994291,-44.8818409815431,2025-01-09,2025,1,TRUE,TRUE
CP19941,unknown,unknown,FALSE,169.180542994291,-44.8818409815431,2025-01-09,2025,1,TRUE,TRUE
CP19983,resident,resident,TRUE,167.744617,-45.414383,2024-10-14,2024,10,TRUE,TRUE
CP19984,unknown,unknown,FALSE,167.745905,-45.414044,2024-10-14,2024,10,TRUE,TRUE
CP9059,resident,resident,TRUE,173.662786,-42.413422,2024-10-08,2024,10,TRUE,TRUE
