ring,rung1_class,status,abs_delta_d13c,abs_delta_d15n,normalised_d13c_Breast,normalised_d13c_Primary,normalised_d15n_Breast,normalised_d15n_Primary
CP16784,resident,resident,2.82476331722566,2.443969003272,-17.7753149745893,-20.600078291815,12.4697845155605,10.0258155122885
CP16815,migrant,AU migrant,10.6170610270126,6.95364935241395,-11.5019399887621,-22.1190010157748,10.336486782594,3.38283743018004
CP16906,resident,resident,2.85303838046281,2.11958320868722,-16.5028394162731,-13.6498010358103,13.1400023297407,15.259585538427901
CP16938,migrant,NI migrant,12.8018736718596,9.02024736391264,-11.7732858837485,-24.5751595556081,13.0505573731248,4.03031000921216
CP16945,migrant,NI migrant,12.8841908227871,8.24366644856944,-11.7238269708072,-24.6080177935943,13.2076893499419,4.96402290137249
CP16953,migrant,NI migrant,13.6047388015601,12.5194192333881,-11.1905850372296,-24.7953238387897,18.6186586293908,6.09923939600272
CP16958,migrant,NI migrant,8.01722634096787,3.30349516205102,-15.333309301501,-23.3505356424689,15.8617503104097,12.5582551483587
CP16990,migrant,NI migrant,8.76011464365914,2.78286978812032,-12.5570174920222,-21.3171321356814,13.8936712460448,11.1108014579245
CP17010,resident,resident,2.88400320425209,2.06384071687458,-20.7990391206713,-23.6830423249234,8.32593463371651,6.26209391684193
CP17011,migrant,SI migrant,5.78400679955261,5.40570984338694,-16.8007345467439,-22.5847413462965,13.2755885769215,7.86987873353459
CP19311,migrant,SI migrant,0.69429165028065,2.69712627401333,-22.5401886120996,-23.2344802623803,8.16879707947654,5.47167080546321
CP19312,migrant,AU migrant,2.60278818601131,8.24326336018024,-20.1365264153173,-22.7393146013286,15.7489177714583,7.50565441127808
CP19314,migrant,AU migrant,1.8097908048694,5.22424640525494,-20.9353793877792,-22.7451701926486,9.11276685224496,3.88852044699003
CP19327,migrant,SI migrant,0.337071884144162,4.15366347685232,-14.7462971530249,-14.4092252688807,14.2859172518353,10.132253774983
CP19340,migrant,AU migrant,1.00083855336249,9.07153642808507,-23.1370222195958,-24.1378607729583,12.2141638963432,3.1426274682581
CP19346,resident,resident,2.20171399399631,2.49833158597948,-23.6106784068077,-21.4089644128114,11.4762590619618,13.9745906479413
CP19350,migrant,SI migrant,2.58153793138503,5.05461358705509,-22.9932864768683,-20.4117485454833,10.2356874401532,15.2903010272083
CP19360,migrant,SI migrant,3.14224544778299,0.65809078307328,-15.6494167356104,-12.5071712878275,9.64897104177514,8.99088025870186
