validation_layer,split_id,n_assessment,n_sites_assessment,assessment_sites,candidate_id,candidate_label,model_type,candidate_group,caution_level,fit_status,n_analysis,log_loss,balanced_accuracy,accuracy,brier,selected_lambda,ece,calibration_intercept,calibration_slope,mean_top_prob,weak_support_rate,indeterminate_rate,au_sensitivity,au_specificity,au_ppv,au_npv,predictors_used,fit_message
blocked_site_cv,Fold3,9,3,Cass River|Pisa Range|Tiwai Point,benchmark_si_r2c_collapsed_au_non_au,Benchmark SI: R2 C collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_direct_rung2_on_si_subset,ok,41,0.6737653572968574,0.42857142857142855,0.6666666666666666,0.23170460043194782,NA,0.3220265046998934,-0.6978291404284823,-2.0256791941870755,0.6444221282808599,0,0.8888888888888888,0,0.8571428571428571,0,0.75,collapsed_3class_probabilities_to_binary,NA
blocked_site_cv,Fold4,12,3,Kaikoura|Porters Beach|Te Anau,benchmark_si_r2c_collapsed_au_non_au,Benchmark SI: R2 C collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_direct_rung2_on_si_subset,ok,38,0.4075598910132041,0.5,0.9166666666666666,0.11697092432882779,NA,0.23421632490388694,-1.674292923193566,7.45919919245048,0.6824503417627797,0,1,0,1,NA,0.9166666666666666,collapsed_3class_probabilities_to_binary,NA
leave_one_site_out_cv,Site__Cass.River,1,1,Cass River,benchmark_si_r2c_collapsed_au_non_au,Benchmark SI: R2 C collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_direct_rung2_on_si_subset,ok,49,1.7633355299051823,0,0,0.6864587146629367,NA,0.8285280409635734,24.14129948865508,NA,0.8285280409635735,0,0,0,NA,NA,0,collapsed_3class_probabilities_to_binary,NA
leave_one_site_out_cv,Site__Kaikoura,6,1,Kaikoura,benchmark_si_r2c_collapsed_au_non_au,Benchmark SI: R2 C collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_direct_rung2_on_si_subset,ok,44,0.40425463558961056,1,1,0.11118595544523026,NA,0.33165037545897047,-23.865159981029485,-4.050099129843016e-14,0.6683496245410295,0,1,NA,1,NA,1,collapsed_3class_probabilities_to_binary,NA
leave_one_site_out_cv,Site__Kaitorete,10,1,Kaitorete,benchmark_si_r2c_collapsed_au_non_au,Benchmark SI: R2 C collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_direct_rung2_on_si_subset,ok,40,0.6366485350746091,0.5,0.7,0.2217134948122338,NA,0.10004647545239011,0.06877407074847475,-1.1416474712372804,0.7139973882265259,0,1,0,1,NA,0.7,collapsed_3class_probabilities_to_binary,NA
leave_one_site_out_cv,Site__Motueka.Spit,6,1,Motueka Spit,benchmark_si_r2c_collapsed_au_non_au,Benchmark SI: R2 C collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_direct_rung2_on_si_subset,ok,44,0.24724065924780192,1,1,0.04809623671331615,NA,0.21894740774697669,-23.2935971349758,-1.5869578074667435e-15,0.7810525922530234,0,0.8333333333333334,NA,1,NA,1,collapsed_3class_probabilities_to_binary,NA
leave_one_site_out_cv,Site__Pisa.Range,1,1,Pisa Range,benchmark_si_r2c_collapsed_au_non_au,Benchmark SI: R2 C collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_direct_rung2_on_si_subset,ok,49,1.0325852661904373,0,0,0.4146262766611294,NA,0.6439148054371241,23.15846497138432,NA,0.643914805437124,0,1,0,NA,NA,0,collapsed_3class_probabilities_to_binary,NA
leave_one_site_out_cv,Site__Porters.Beach,2,1,Porters Beach,benchmark_si_r2c_collapsed_au_non_au,Benchmark SI: R2 C collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_direct_rung2_on_si_subset,ok,48,0.264204018660272,1,1,0.05426719017856262,NA,0.23184897607726412,-22.36671094438115,2.970962526722074e-14,0.7681510239227359,0,1,NA,1,NA,1,collapsed_3class_probabilities_to_binary,NA
leave_one_site_out_cv,Site__Tasman.River,13,1,Tasman River,benchmark_si_r2c_collapsed_au_non_au,Benchmark SI: R2 C collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_direct_rung2_on_si_subset,ok,37,1.6801735110451665,0.5,0.15384615384615385,0.6272185317266138,NA,0.7040157296353273,3.5028639178610956,-56.56730018703954,0.8578618834814812,0,0,0,1,NA,0.15384615384615385,collapsed_3class_probabilities_to_binary,NA
leave_one_site_out_cv,Site__Te.Anau,4,1,Te Anau,benchmark_si_r2c_collapsed_au_non_au,Benchmark SI: R2 C collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_direct_rung2_on_si_subset,ok,46,0.5170804979950525,0.5,0.75,0.1692171359800741,NA,0.18622189345739093,-0.33777389699339044,5.539072411458762,0.6830334790501297,0,1,0,1,NA,0.75,collapsed_3class_probabilities_to_binary,NA
