comparison_subset_id,extension_target,ring,sampling_site_label,sampling_location_specific,sampling_location_general,longitude_capture,latitude_capture,status,status_bin,status_rung2_3class,status_au_non_au,sex,tag_id_adjusted,migratory_status_comment,normalised_d13c_Breast,normalised_d13c_Primary,normalised_d15n_Breast,normalised_d15n_Primary,normalised_d2h_Breast,normalised_d2h_Primary,delta_d13c_breast_minus_primary,delta_d15n_breast_minus_primary,delta_d2h_breast_minus_primary,abs_delta_d13c,abs_delta_d15n,abs_delta_d2h,source_phenotype_row_ids,source_measurement_ids_Breast,source_measurement_ids_Primary,source_measurement_ids_model_Breast,source_measurement_ids_model_Primary
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16655,Tasman River,"Tasman River, Mt. Cook National Park","South Island, New Zealand",170.144062,-43.736643,AU migrant,migrant,AU migrant,AU,F,266382,"PTT revealed this bird migrating to Cape Barren Island, Tasmania (arrival: March 20)",-24.7559366505141,-22.3998596098855,7.8216830215885,4.15782584920362,4.85116659614611,-21.2491403372569,-2.356077040628602,3.66385717238488,26.10030693340301,2.356077040628602,3.66385717238488,26.10030693340301,live_pheno_008|live_pheno_025,live_measurement_0093|live_measurement_0094|live_measurement_0359,live_measurement_0095|live_measurement_0096|live_measurement_0360,live_measurement_0093|live_measurement_0094|live_measurement_0359,live_measurement_0095|live_measurement_0096|live_measurement_0360
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16656,Tasman River,"Tasman River, Mt. Cook National Park","South Island, New Zealand",170.146122,-43.727942,AU migrant,migrant,AU migrant,AU,M,266418,"PTT revealed this bird migrating to Lake Gellie and Lake Corongamite, inland Victoria (arrival: April 27, departure: June 22)",-21.9086897983393,-23.5834103533861,12.5950059846792,3.88752192894621,14.2174683824138,-17.702594540272,1.6747205550468003,8.70748405573299,31.9200629226858,1.6747205550468003,8.70748405573299,31.9200629226858,live_pheno_009|live_pheno_026,live_measurement_0097|live_measurement_0098|live_measurement_0361,live_measurement_0099|live_measurement_0100|live_measurement_0362,live_measurement_0097|live_measurement_0098|live_measurement_0361,live_measurement_0099|live_measurement_0100|live_measurement_0362
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16667,Pisa Range,"Pisa Range, Otago","South Island, New Zealand",169.161329995841,-44.8660619650036,AU migrant,migrant,AU migrant,AU,M,266470_B,"PTT revealed this bird migrating to Corner Inlet, Victoria (arrival: May 21, departure: Sep 14)",-16.9847442701969,-22.8979289872113,9.53620500785815,6.43119266062136,-7.09243244003951,-48.4333430876636,5.913184717014403,3.1050123472367908,41.34091064762409,5.913184717014403,3.1050123472367908,41.34091064762409,live_pheno_010|live_pheno_027,live_measurement_0101|live_measurement_0102|live_measurement_0363,live_measurement_0103|live_measurement_0104|live_measurement_0364,live_measurement_0101|live_measurement_0102|live_measurement_0363,live_measurement_0103|live_measurement_0104|live_measurement_0364
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16693,Kaitorete,"Kaitorete Spit, Canterbury","South Island, New Zealand",172.608074,-43.830353,SI migrant,migrant,NZ migrant,non_AU,F,266394,"PTT revealed that the bird left the breeding grounds at Birdlings Flat in late October and went to the agricultural fields near the Rakaia River where it stayed until July, when it returned to Birdling's Flat",-23.9903077104457,-23.5712912185321,10.3932300598609,9.98347458645412,-26.71935198726,-14.9088613419557,-0.4190164919135988,0.4097554734067792,-11.810490645304302,0.4190164919135988,0.4097554734067792,11.810490645304302,live_pheno_052|live_pheno_062,live_measurement_0133|live_measurement_0135|live_measurement_0134|live_measurement_0136|live_measurement_0379,live_measurement_0137|live_measurement_0138|live_measurement_0380,live_measurement_0135|live_measurement_0136|live_measurement_0379,live_measurement_0137|live_measurement_0138|live_measurement_0380
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16784,Tiwai Point,"Tiwai Point, Canterbury","South Island, New Zealand",168.433454,-46.606459,resident,resident,resident,non_AU,F,266454,PTT revealed that the bird moved to Waipapa Point for two weeks (Nov 13 to Dec 1) before returning to Tiwai Point / Awarua Bay for the remainder of the year,-17.7753149745893,-20.600078291815,12.4697845155605,10.0258155122885,5.41951563916892,-14.6065660589455,2.824763317225699,2.4439690032720005,20.02608169811442,2.824763317225699,2.4439690032720005,20.02608169811442,live_pheno_078|live_pheno_100,live_measurement_0139|live_measurement_0140|live_measurement_0381,live_measurement_0141|live_measurement_0142|live_measurement_0382,live_measurement_0139|live_measurement_0140|live_measurement_0381,live_measurement_0141|live_measurement_0142|live_measurement_0382
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16815,Tasman River,"Tasman River, Mt. Cook National Park","South Island, New Zealand",170.143369,-43.736814,AU migrant,migrant,AU migrant,AU,M,266412,"PTT revealed this bird migrating to the mouth of the Manning River, New South Wales (arrival: May 29) - after breeding season it staged at the Clutha River Mouth April 23 to May 20.",-11.5019399887621,-22.1190010157748,10.336486782594,3.38283743018004,1.61521541282142,-29.146229421724,10.6170610270127,6.95364935241396,30.761444834545422,10.6170610270127,6.95364935241396,30.761444834545422,live_pheno_011|live_pheno_028,live_measurement_0143|live_measurement_0144|live_measurement_0383,live_measurement_0145|live_measurement_0146|live_measurement_0384,live_measurement_0143|live_measurement_0144|live_measurement_0383,live_measurement_0145|live_measurement_0146|live_measurement_0384
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16906,Kaikoura,"Kaikoura, Canterbury","South Island, New Zealand",173.681912,-42.392022,resident,resident,resident,non_AU,F,NA,Ailsa observation,-16.5028394162731,-13.6498010358103,13.1400023297407,15.259585538427901,0.256205020893907,-13.6066491723206,-2.8530383804628006,-2.1195832086872013,13.862854193214506,2.8530383804628006,2.1195832086872013,13.862854193214506,live_pheno_079|live_pheno_101,live_measurement_0147|live_measurement_0148|live_measurement_0385,live_measurement_0149|live_measurement_0150|live_measurement_0386,live_measurement_0147|live_measurement_0148|live_measurement_0385,live_measurement_0149|live_measurement_0150|live_measurement_0386
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16938,Rangipo Desert,"Rangipo Desert, Tongariro National Park","South Island, New Zealand",175.727142,-39.291327,NI migrant,migrant,NZ migrant,non_AU,M,NA,"Resighting at Omaha Spit, North Island on March 15",-11.7732858837485,-24.5751595556081,13.0505573731248,4.03031000921216,5.92872165565658,-15.7371655440715,12.8018736718596,9.02024736391264,21.66588719972808,12.8018736718596,9.02024736391264,21.66588719972808,live_pheno_036|live_pheno_043,live_measurement_0151|live_measurement_0152|live_measurement_0387,live_measurement_0153|live_measurement_0154|live_measurement_0388,live_measurement_0151|live_measurement_0152|live_measurement_0387,live_measurement_0153|live_measurement_0154|live_measurement_0388
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16945,Rangipo Desert,"Rangipo Desert, Tongariro National Park","South Island, New Zealand",175.702629005536,-39.379794029519,NI migrant,migrant,NZ migrant,non_AU,M,NA,"Resighting at Omaha Spit, North Island on Jan 12",-11.7238269708072,-24.6080177935943,13.2076893499419,4.96402290137249,6.53339665206986,-16.5460744738314,12.8841908227871,8.24366644856941,23.07947112590126,12.8841908227871,8.24366644856941,23.07947112590126,live_pheno_037|live_pheno_044,live_measurement_0155|live_measurement_0156|live_measurement_0389,live_measurement_0157|live_measurement_0158|live_measurement_0390,live_measurement_0155|live_measurement_0156|live_measurement_0389,live_measurement_0157|live_measurement_0158|live_measurement_0390
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16953,Rangipo Desert,"Rangipo Desert, Tongariro National Park","South Island, New Zealand",175.700161037967,-39.3611319735646,NI migrant,migrant,NZ migrant,non_AU,M,NA,"Resighting at Karaka, North Island on July 20",-11.1905850372296,-24.7953238387897,18.6186586293908,6.09923939600272,3.99308970394748,-22.6027586527885,13.6047388015601,12.519419233388081,26.595848356735978,13.6047388015601,12.519419233388081,26.595848356735978,live_pheno_038|live_pheno_045,live_measurement_0159|live_measurement_0160|live_measurement_0391,live_measurement_0161|live_measurement_0162|live_measurement_0392,live_measurement_0159|live_measurement_0160|live_measurement_0391,live_measurement_0161|live_measurement_0162|live_measurement_0392
