"ring","feather_type","sex","status","status_bin","status_known","longitude_capture","latitude_capture","tag_id_adjusted","migratory_status_comment","n_assays","n_unique_samples","sample_ids_raw","sample_ids_base","normalised_d13c","normalised_d15n","cn_mass_ratio","amount_mg_mean","amount_mg_sd","source_measurement_ids","source_phenotype_row_ids"
"CP16677","Primary","M","unknown","unknown",FALSE,169.20916903764,-45.3364670276642,,,1,1,"CP16677_2024-12-13_primary feather","CP16677_2024-12-13_primary feather",-23.0656359175076,4.82354697155025,3.45358752771625,0.207,,"live_measurement_0058","live_pheno_115|live_pheno_133"
"CP16678","Breast","F","unknown","unknown",FALSE,169.20916903764,-45.3364670276642,,,1,1,"CP16678_2024-12-13_breast feather","CP16678_2024-12-13_breast feather",-23.2303119996661,11.122604278131,3.30016413403725,0.262,,"live_measurement_0059","live_pheno_116|live_pheno_134"
"CP16678","Primary","F","unknown","unknown",FALSE,169.20916903764,-45.3364670276642,,,1,1,"CP16678_2024-12-13_primary feather","CP16678_2024-12-13_primary feather",-23.3576076214573,4.31363292039113,3.42958328490398,0.256,,"live_measurement_0060","live_pheno_116|live_pheno_134"
"CP16681","Breast","M","unknown","unknown",FALSE,175.731553025544,-39.2938620038331,,,1,1,"CP16681_2024-12-16_breast feather","CP16681_2024-12-16_breast feather",-11.5864767757948,12.329991989426,3.31800617986908,0.194,,"live_measurement_0061","live_pheno_117|live_pheno_135"
"CP16681","Primary","M","unknown","unknown",FALSE,175.731553025544,-39.2938620038331,,,1,1,"CP16681_2024-12-16_primary feather","CP16681_2024-12-16_primary feather",-24.8246117480203,2.12613609965154,3.47189636684835,0.204,,"live_measurement_0062","live_pheno_117|live_pheno_135"
"CP16685","Breast","F","unknown","unknown",FALSE,175.731553025544,-39.2938620038331,,,1,1,"CP16685_2024-12-18_breast feather","CP16685_2024-12-18_breast feather",-12.729150059312,15.3213517395468,3.39791612671006,0.258,,"live_measurement_0063","live_pheno_118|live_pheno_136"
"CP16685","Primary","F","unknown","unknown",FALSE,175.731553025544,-39.2938620038331,,,1,1,"CP16685_2024-12-18_primary feather","CP16685_2024-12-18_primary feather",-23.9469843990072,5.32339087595626,3.33187844659801,0.363,,"live_measurement_0064","live_pheno_118|live_pheno_136"
"CP16686","Breast","F","unknown","unknown",FALSE,169.211730966344,-45.3636030200869,,,1,1,"CP16686_2025-01-07_breast feather","CP16686_2025-01-07_breast feather",-22.8282194800399,11.6102601762633,3.40128142221385,0.22,,"live_measurement_0065","live_pheno_119|live_pheno_137"
"CP16686","Primary","F","unknown","unknown",FALSE,169.211730966344,-45.3636030200869,,,1,1,"CP16686_2025-01-07_primary feather","CP16686_2025-01-07_primary feather",-22.9320068549817,5.19957463852285,3.44574580315402,0.201,,"live_measurement_0066","live_pheno_119|live_pheno_137"
"CP16693","Breast","F","SI migrant","migrant",TRUE,172.608074,-43.830353,"266394","PTT revealed that the bird left the breeding grounds at Birdlings Flat in late October and went to the agricultural fields near the Rakaia River where it stayed until July, when it returned to Birdling's Flat",2,1,"CP16693_2024-09-30_breast feather|CP16693_2024-09-30_breast feather_rpt","CP16693_2024-09-30_breast feather",-24.092719850336,10.0992781862487,3.36312580566798,0.2025,0.0247487373415292,"live_measurement_0067|live_measurement_0068","live_pheno_052|live_pheno_062"
"CP16693","Primary","F","SI migrant","migrant",TRUE,172.608074,-43.830353,"266394","PTT revealed that the bird left the breeding grounds at Birdlings Flat in late October and went to the agricultural fields near the Rakaia River where it stayed until July, when it returned to Birdling's Flat",1,1,"CP16693_2024-09-30_primary feather","CP16693_2024-09-30_primary feather",-23.5712912185321,9.98347458645412,3.50217645091409,0.26,,"live_measurement_0069","live_pheno_052|live_pheno_062"
"CP16784","Breast","F","resident","resident",TRUE,168.433454,-46.606459,"266454","PTT revealed that the bird moved to Waipapa Point for two weeks (Nov 13 to Dec 1) before returning to Tiwai Point / Awarua Bay for the remainder of the year",1,1,"CP16784_2024-10-16_breast feather","CP16784_2024-10-16_breast feather",-17.7753149745893,12.4697845155605,3.35108450728275,0.256,,"live_measurement_0070","live_pheno_078|live_pheno_100"
"CP16784","Primary","F","resident","resident",TRUE,168.433454,-46.606459,"266454","PTT revealed that the bird moved to Waipapa Point for two weeks (Nov 13 to Dec 1) before returning to Tiwai Point / Awarua Bay for the remainder of the year",1,1,"CP16784_2024-10-16_primary feather","CP16784_2024-10-16_primary feather",-20.600078291815,10.0258155122885,3.57774690055043,0.217,,"live_measurement_0071","live_pheno_078|live_pheno_100"
"CP16815","Breast","M","AU migrant","migrant",TRUE,170.143369,-43.736814,"266412","PTT revealed this bird migrating to the mouth of the Manning River, New South Wales (arrival: May 29) - after breeding season it staged at the Clutha River Mouth April 23 to May 20.",1,1,"CP16815_2024-10-10_breast feather","CP16815_2024-10-10_breast feather",-11.5019399887621,10.336486782594,3.45153596485853,0.223,,"live_measurement_0072","live_pheno_011|live_pheno_028"
"CP16815","Primary","M","AU migrant","migrant",TRUE,170.143369,-43.736814,"266412","PTT revealed this bird migrating to the mouth of the Manning River, New South Wales (arrival: May 29) - after breeding season it staged at the Clutha River Mouth April 23 to May 20.",1,1,"CP16815_2024-10-10_primary feather","CP16815_2024-10-10_primary feather",-22.1190010157748,3.38283743018004,3.49483567242185,0.237,,"live_measurement_0073","live_pheno_011|live_pheno_028"
"CP16906","Breast","F","resident","resident",TRUE,173.681912,-42.392022,,"Ailsa observation",1,1,"CP16906_2024-10-08_breast feather","CP16906_2024-10-08_breast feather",-16.5028394162731,13.1400023297407,3.32597487741899,0.275,,"live_measurement_0074","live_pheno_079|live_pheno_101"
"CP16906","Primary","F","resident","resident",TRUE,173.681912,-42.392022,,"Ailsa observation",1,1,"CP16906_2024-10-08_primary feather","CP16906_2024-10-08_primary feather",-13.6498010358103,15.2595855384279,3.46009977035282,0.205,,"live_measurement_0075","live_pheno_079|live_pheno_101"
"CP16938","Breast","M","NI migrant","migrant",TRUE,175.727142,-39.291327,,"Resighting at Omaha Spit, North Island on March 15",1,1,"CP16938_2024-11-04_breast feather","CP16938_2024-11-04_breast feather",-11.7732858837485,13.0505573731248,3.47017582461009,0.243,,"live_measurement_0076","live_pheno_036|live_pheno_043"
"CP16938","Primary","M","NI migrant","migrant",TRUE,175.727142,-39.291327,,"Resighting at Omaha Spit, North Island on March 15",1,1,"CP16938_2024-11-04_primary feather","CP16938_2024-11-04_primary feather",-24.5751595556081,4.03031000921216,3.37871813694405,0.252,,"live_measurement_0077","live_pheno_036|live_pheno_043"
"CP16945","Breast","M","NI migrant","migrant",TRUE,175.702629005536,-39.379794029519,,"Resighting at Omaha Spit, North Island on Jan 12",1,1,"CP16945_2024-11-13_breast feather","CP16945_2024-11-13_breast feather",-11.7238269708072,13.2076893499419,3.49665768443661,0.262,,"live_measurement_0078","live_pheno_037|live_pheno_044"
"CP16945","Primary","M","NI migrant","migrant",TRUE,175.702629005536,-39.379794029519,,"Resighting at Omaha Spit, North Island on Jan 12",1,1,"CP16945_2024-11-13_primary feather","CP16945_2024-11-13_primary feather",-24.6080177935943,4.96402290137249,3.45453233485409,0.215,,"live_measurement_0079","live_pheno_037|live_pheno_044"
"CP16953","Breast","M","NI migrant","migrant",TRUE,175.700161037967,-39.3611319735646,,"Resighting at Karaka, North Island on July 20",1,1,"CP16953_2024-11-14_breast feather","CP16953_2024-11-14_breast feather",-11.1905850372296,18.6186586293908,3.33228931606423,0.315,,"live_measurement_0080","live_pheno_038|live_pheno_045"
"CP16953","Primary","M","NI migrant","migrant",TRUE,175.700161037967,-39.3611319735646,,"Resighting at Karaka, North Island on July 20",1,1,"CP16953_2024-11-14_primary feather","CP16953_2024-11-14_primary feather",-24.7953238387897,6.09923939600272,3.33030835414537,0.221,,"live_measurement_0081","live_pheno_038|live_pheno_045"
"CP16958","Breast","F","NI migrant","migrant",TRUE,176.92653497681,-39.5726949814707,,"Resighting at Miranda, North Island on May 17",1,1,"CP16958_2024-12-03_breast feather","CP16958_2024-12-03_breast feather",-15.333309301501,15.8617503104097,3.40582247818053,0.229,,"live_measurement_0082","live_pheno_039|live_pheno_046"
"CP16958","Primary","F","NI migrant","migrant",TRUE,176.92653497681,-39.5726949814707,,"Resighting at Miranda, North Island on May 17",1,1,"CP16958_2024-12-03_primary feather","CP16958_2024-12-03_primary feather",-23.3505356424689,12.5582551483587,3.35388413130818,0.234,,"live_measurement_0083","live_pheno_039|live_pheno_046"
"CP16961","Breast","M","unknown","unknown",FALSE,176.893405001611,-39.485479015857,,,1,1,"CP16961_2024-12-04_breast feather","CP16961_2024-12-04_breast feather",-14.5960619312138,13.4583173789402,3.5456990854605,0.209,,"live_measurement_0084","live_pheno_120|live_pheno_138"
