source_order,ring,model_id,model_label,prediction_available,class,probability,operational_call,longitude_capture,latitude_capture,informal_rung2_consensus,model_short
7,CP16686,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,AU migrant,0.4521934264308653,indeterminate,169.211730966344,-45.3636030200869,single-model lead: AU migrant,R2 S2
7,CP16686,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,NZ migrant,0.3290006512829829,indeterminate,169.211730966344,-45.3636030200869,single-model lead: AU migrant,R2 S2
7,CP16686,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,resident,0.2188059222861519,indeterminate,169.211730966344,-45.3636030200869,single-model lead: AU migrant,R2 S2
8,CP16961,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,migrant,0.6343272809795211,migrant,176.893405001611,-39.485479015857,no determinate Rung 2 call,R1 C
8,CP16961,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,resident,0.365672719020479,migrant,176.893405001611,-39.485479015857,no determinate Rung 2 call,R1 C
8,CP16961,r2_a,Rung 2: R2 A breast-only C/N,TRUE,AU migrant,0.3035714285714286,indeterminate,176.893405001611,-39.485479015857,no determinate Rung 2 call,R2 A
8,CP16961,r2_a,Rung 2: R2 A breast-only C/N,TRUE,NZ migrant,0.30357142857142855,indeterminate,176.893405001611,-39.485479015857,no determinate Rung 2 call,R2 A
8,CP16961,r2_a,Rung 2: R2 A breast-only C/N,TRUE,resident,0.3928571428571429,indeterminate,176.893405001611,-39.485479015857,no determinate Rung 2 call,R2 A
8,CP16961,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,AU migrant,0.22617296727774355,indeterminate,176.893405001611,-39.485479015857,no determinate Rung 2 call,R2 C
8,CP16961,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,NZ migrant,0.42236516840945104,indeterminate,176.893405001611,-39.485479015857,no determinate Rung 2 call,R2 C
8,CP16961,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,resident,0.3514618643128054,indeterminate,176.893405001611,-39.485479015857,no determinate Rung 2 call,R2 C
8,CP16961,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,AU migrant,0.2975878966933478,indeterminate,176.893405001611,-39.485479015857,no determinate Rung 2 call,R2 S2
8,CP16961,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,NZ migrant,0.37768182945291306,indeterminate,176.893405001611,-39.485479015857,no determinate Rung 2 call,R2 S2
8,CP16961,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,resident,0.32473027385373915,indeterminate,176.893405001611,-39.485479015857,no determinate Rung 2 call,R2 S2
9,CP16962,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,migrant,0.5370259447956447,indeterminate,176.893405001611,-39.485479015857,single-model lead: resident,R1 C
9,CP16962,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,resident,0.4629740552043553,indeterminate,176.893405001611,-39.485479015857,single-model lead: resident,R1 C
9,CP16962,r2_a,Rung 2: R2 A breast-only C/N,TRUE,AU migrant,0.3035714285714286,indeterminate,176.893405001611,-39.485479015857,single-model lead: resident,R2 A
9,CP16962,r2_a,Rung 2: R2 A breast-only C/N,TRUE,NZ migrant,0.30357142857142855,indeterminate,176.893405001611,-39.485479015857,single-model lead: resident,R2 A
9,CP16962,r2_a,Rung 2: R2 A breast-only C/N,TRUE,resident,0.3928571428571429,indeterminate,176.893405001611,-39.485479015857,single-model lead: resident,R2 A
9,CP16962,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,AU migrant,0.19577615749054011,indeterminate,176.893405001611,-39.485479015857,single-model lead: resident,R2 C
9,CP16962,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,NZ migrant,0.3333214037414519,indeterminate,176.893405001611,-39.485479015857,single-model lead: resident,R2 C
9,CP16962,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,resident,0.470902438768008,indeterminate,176.893405001611,-39.485479015857,single-model lead: resident,R2 C
9,CP16962,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,AU migrant,0.24669237565903776,resident,176.893405001611,-39.485479015857,single-model lead: resident,R2 S2
