comparison_subset_id,extension_target,ring,sampling_site_label,sampling_location_specific,sampling_location_general,longitude_capture,latitude_capture,status,status_bin,status_rung2_3class,status_au_non_au,sex,tag_id_adjusted,migratory_status_comment,normalised_d13c_Breast,normalised_d15n_Breast,normalised_d2h_Breast,source_phenotype_row_ids,source_measurement_ids_Breast,source_measurement_ids_model_Breast
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16667,Pisa Range,"Pisa Range, Otago","South Island, New Zealand",169.161329995841,-44.8660619650036,AU migrant,migrant,AU migrant,AU,M,266470_B,"PTT revealed this bird migrating to Corner Inlet, Victoria (arrival: May 21, departure: Sep 14)",-16.9847442701969,9.53620500785815,-7.09243244003951,live_pheno_010|live_pheno_027,live_measurement_0101|live_measurement_0102|live_measurement_0363,live_measurement_0101|live_measurement_0102|live_measurement_0363
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16693,Kaitorete,"Kaitorete Spit, Canterbury","South Island, New Zealand",172.608074,-43.830353,SI migrant,migrant,NZ migrant,non_AU,F,266394,"PTT revealed that the bird left the breeding grounds at Birdlings Flat in late October and went to the agricultural fields near the Rakaia River where it stayed until July, when it returned to Birdling's Flat",-23.9903077104457,10.3932300598609,-26.71935198726,live_pheno_052|live_pheno_062,live_measurement_0133|live_measurement_0135|live_measurement_0134|live_measurement_0136|live_measurement_0379,live_measurement_0135|live_measurement_0136|live_measurement_0379
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16784,Tiwai Point,"Tiwai Point, Canterbury","South Island, New Zealand",168.433454,-46.606459,resident,resident,resident,non_AU,F,266454,PTT revealed that the bird moved to Waipapa Point for two weeks (Nov 13 to Dec 1) before returning to Tiwai Point / Awarua Bay for the remainder of the year,-17.7753149745893,12.4697845155605,5.41951563916892,live_pheno_078|live_pheno_100,live_measurement_0139|live_measurement_0140|live_measurement_0381,live_measurement_0139|live_measurement_0140|live_measurement_0381
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16815,Tasman River,"Tasman River, Mt. Cook National Park","South Island, New Zealand",170.143369,-43.736814,AU migrant,migrant,AU migrant,AU,M,266412,"PTT revealed this bird migrating to the mouth of the Manning River, New South Wales (arrival: May 29) - after breeding season it staged at the Clutha River Mouth April 23 to May 20.",-11.5019399887621,10.336486782594,1.61521541282142,live_pheno_011|live_pheno_028,live_measurement_0143|live_measurement_0144|live_measurement_0383,live_measurement_0143|live_measurement_0144|live_measurement_0383
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16906,Kaikoura,"Kaikoura, Canterbury","South Island, New Zealand",173.681912,-42.392022,resident,resident,resident,non_AU,F,NA,Ailsa observation,-16.5028394162731,13.1400023297407,0.256205020893907,live_pheno_079|live_pheno_101,live_measurement_0147|live_measurement_0148|live_measurement_0385,live_measurement_0147|live_measurement_0148|live_measurement_0385
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16938,Rangipo Desert,"Rangipo Desert, Tongariro National Park","South Island, New Zealand",175.727142,-39.291327,NI migrant,migrant,NZ migrant,non_AU,M,NA,"Resighting at Omaha Spit, North Island on March 15",-11.7732858837485,13.0505573731248,5.92872165565658,live_pheno_036|live_pheno_043,live_measurement_0151|live_measurement_0152|live_measurement_0387,live_measurement_0151|live_measurement_0152|live_measurement_0387
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16945,Rangipo Desert,"Rangipo Desert, Tongariro National Park","South Island, New Zealand",175.702629005536,-39.379794029519,NI migrant,migrant,NZ migrant,non_AU,M,NA,"Resighting at Omaha Spit, North Island on Jan 12",-11.7238269708072,13.2076893499419,6.53339665206986,live_pheno_037|live_pheno_044,live_measurement_0155|live_measurement_0156|live_measurement_0389,live_measurement_0155|live_measurement_0156|live_measurement_0389
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16953,Rangipo Desert,"Rangipo Desert, Tongariro National Park","South Island, New Zealand",175.700161037967,-39.3611319735646,NI migrant,migrant,NZ migrant,non_AU,M,NA,"Resighting at Karaka, North Island on July 20",-11.1905850372296,18.6186586293908,3.99308970394748,live_pheno_038|live_pheno_045,live_measurement_0159|live_measurement_0160|live_measurement_0391,live_measurement_0159|live_measurement_0160|live_measurement_0391
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16958,Napier,"Napier, Hawkes Bay","South Island, New Zealand",176.92653497681,-39.5726949814707,NI migrant,migrant,NZ migrant,non_AU,F,NA,"Resighting at Miranda, North Island on May 17",-15.333309301501,15.8617503104097,-19.3472246308733,live_pheno_039|live_pheno_046,live_measurement_0163|live_measurement_0164|live_measurement_0393,live_measurement_0163|live_measurement_0164|live_measurement_0393
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16990,Napier,"Napier, Hawkes Bay","South Island, New Zealand",176.930825,-39.575394,NI migrant,migrant,NZ migrant,non_AU,M,NA,"Resighting at Kaipara Harbour, North Island on Feb 24",-12.5570174920222,13.8936712460448,-3.16996835110101,live_pheno_040|live_pheno_047,live_measurement_0177|live_measurement_0178|live_measurement_0399,live_measurement_0177|live_measurement_0178|live_measurement_0399
